ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2529	"AP4S1"	"AP4S1"	chr14	+	31083525	31083647	31080572	31080644	31084768	31085802
2530	"AP4S1"	"AP4S1"	chr14	+	31080572	31080644	31072904	31072973	31084768	31085802
2531	"BRK1"	"BRK1"	chr3	+	10125625	10125708	10115648	10115819	10126268	10127190
2532	"SOX2-OT"	"SOX2-OT"	chr3	+	181699597	181699883	181610860	181610929	181739568	181742225
2533	"SOX2-OT"	"SOX2-OT"	chr3	+	181715184	181715292	181699597	181699883	181739568	181742225
2534	"POLQ"	"POLQ"	chr3	-	121460049	121460234	121449314	121449426	121467518	121467640
2535	"VEPH1"	"VEPH1"	chr3	-	157313620	157313755	157286556	157286674	157317061	157317201
2536	"VEPH1"	"VEPH1"	chr3	-	157499394	157499656	157495211	157495506	157503470	157503626
2537	"TPP1"	"TPP1"	chr11	-	6616004	6616074	6615441	6615562	6616314	6616503
2538	"TPP1"	"TPP1"	chr11	-	6616660	6616859	6616314	6616503	6616974	6617153
2539	"TPP1"	"TPP1"	chr11	-	6618775	6618915	6617625	6617776	6619195	6619267
2540	"ARHGAP24"	"ARHGAP24"	chr4	+	85994582	85995657	85977569	85977691	86000478	86002670
2541	"ARHGAP24"	"ARHGAP24"	chr4	+	85942065	85942273	85923647	85923770	85972035	85972168
2542	"ULK4"	"ULK4"	chr3	-	41915976	41916052	41912806	41912899	41918456	41918540
2543	"ULK4"	"ULK4"	chr3	-	41705056	41705151	41681752	41681804	41705253	41705305
2544	"RNFT1"	"RNFT1"	chr17	-	59960067	59960168	59958290	59958444	59962539	59962616
2545	"RNFT1"	"RNFT1"	chr17	-	59962539	59962616	59958290	59958444	59962826	59963284
2546	"SLC24A2"	"SLC24A2"	chr9	-	19597228	19597279	19576923	19577022	19619583	19619692
2547	"DNAJC2"	"DNAJC2"	chr7	-	103319608	103319678	103316829	103317014	103321931	103322081
2548	"DNAJC2"	"DNAJC2"	chr7	-	103319755	103319844	103319608	103319678	103321931	103322081
2549	"ZNF638"	"ZNF638"	chr2	+	71428546	71428651	71426459	71427414	71431326	71431428
2550	"ZNF638"	"ZNF638"	chr2	+	71348426	71350271	71331754	71331865	71355718	71355780
2551	"ZNF638"	"ZNF638"	chr2	+	71426459	71427414	71424649	71424715	71428546	71428651
2552	"ZNF638"	"ZNF638"	chr2	+	71348752	71350271	71331754	71331875	71355718	71355780
2553	"ZNF638"	"ZNF638"	chr2	+	71348752	71350271	71331754	71331865	71355718	71355780
2554	"ZBTB20"	"ZBTB20"	chr3	-	114350273	114351878	114314499	114339426	114380216	114380404
2555	"ZBTB20"	"ZBTB20"	chr3	-	114693527	114693575	114500351	114500391	114801100	114801174
2556	"ZBTB20"	"ZBTB20"	chr3	-	114710267	114710313	114693527	114693575	114758895	114759277
2557	"CYP2D6"	"CYP2D6"	chr22	-	42129032	42129185	42128783	42128944	42129737	42129909
2558	"CYP2D6"	"CYP2D6"	chr22	-	51373	51526	51124	51285	52078	52250
2559	"TCP11L1"	"TCP11L1"	chr11	+	33057114	33057235	33054592	33054725	33057918	33058139
2560	"FBL"	"FBL"	chr19	-	39840616	39840787	39840413	39840515	39846290	39846414
2561	"KIAA1217"	"KIAA1217"	chr10	+	24542692	24542770	24536773	24536893	24544980	24545103
2562	"KIAA1217"	"KIAA1217"	chr10	+	24494499	24494604	24473227	24474060	24495146	24495196
2563	"KIAA1217"	"KIAA1217"	chr10	+	24536773	24536893	24533069	24533237	24544980	24545103
2564	"KIAA1217"	"KIAA1217"	chr10	+	24542882	24544481	24542692	24542770	24544980	24545103
2565	"TRO"	"TRO"	chrX	+	54930740	54931031	54928602	54928710	54931203	54931431
2566	"TRO"	"TRO"	chrX	+	54922577	54923768	54920562	54920878	54924450	54924555
2567	"TRO"	"TRO"	chrX	+	54922577	54923768	54922217	54922291	54924450	54924555
2568	"TRO"	"TRO"	chrX	+	54922217	54922291	54920562	54920878	54924450	54924555
2569	"TRO"	"TRO"	chrX	+	54922217	54922291	54920562	54920878	54922577	54923768
2570	"TRO"	"TRO"	chrX	+	54922202	54922291	54920562	54920878	54922577	54923768
2571	"SMURF2"	"SMURF2"	chr17	-	64606601	64606640	64598381	64598490	64661828	64662268
2572	"SMURF2"	"SMURF2"	chr17	-	64551583	64551704	64547599	64547801	64554855	64554993
2573	"SMURF2"	"SMURF2"	chr17	-	64591083	64591149	64583460	64583544	64593439	64593573
2574	"SMURF2"	"SMURF2"	chr17	-	64547599	64547801	64546262	64546338	64551583	64551704
2575	"SMURF2"	"SMURF2"	chr17	-	64580788	64580991	64578491	64578576	64583460	64583544
2576	"SMURF2"	"SMURF2"	chr17	-	64586085	64586170	64583460	64583544	64591083	64591149
2577	"RBM42"	"RBM42"	chr19	+	35632935	35633001	35631330	35631405	35633076	35633252
2578	"MRPL48"	"MRPL48"	chr11	+	73859906	73860009	73844806	73844976	73863171	73863261
2579	"MRPL48"	"MRPL48"	chr11	+	73808312	73808350	73805026	73805079	73825707	73825796
2580	"MRPL48"	"MRPL48"	chr11	+	73805026	73805079	73787871	73787992	73825707	73825796
2581	"FAM73A"	"FAM73A"	chr1	+	77859313	77859386	77858937	77859056	77860039	77860126
2582	"CUL3"	"CUL3"	chr2	-	224495831	224495966	224481891	224482078	224497752	224497849
2583	"CUL3"	"CUL3"	chr2	-	224500362	224500487	224497752	224497849	224502964	224503072
2584	"CUL3"	"CUL3"	chr2	-	224557658	224557856	224535527	224535641	224584943	224585397
2585	"CUL3"	"CUL3"	chr2	-	224481891	224482078	224478199	224478345	224495831	224495966
2586	"CREB1"	"CREB1"	chr2	+	207561118	207561160	207560225	207560372	207567462	207567563
2587	"CREB1"	"CREB1"	chr2	+	207555627	207555749	207529891	207530134	207560225	207560372
2588	"OARD1"	"OARD1"	chr6	-	41068840	41068953	41066791	41067437	41070075	41070134
2589	"AKR7A2"	"AKR7A2"	chr1	-	19307313	19307410	19307001	19307101	19308157	19308262
2590	"RBFOX2"	"RBFOX2"	chr22	-	77102	77142	67470	67559	80885	81030
2591	"RBFOX2"	"RBFOX2"	chr22	-	35756104	35756144	35746472	35746561	35759887	35760020
2592	"NCF2"	"NCF2"	chr1	-	183573184	183573292	183570779	183570839	183577598	183577707
2593	"NCF2"	"NCF2"	chr1	-	183574486	183574621	183573184	183573292	183577598	183577707
2594	"FAM169A"	"FAM169A"	chr5	-	74834425	74834597	74813839	74814019	74838964	74839050
2595	"SLC7A2"	"SLC7A2"	chr8	+	17554945	17555082	17551763	17551986	17558294	17558397
2596	"SLC7A2"	"SLC7A2"	chr8	+	17554559	17554699	17551763	17551986	17558294	17558397
2597	"IFFO1"	"IFFO1"	chr12	-	6551397	6551503	6550940	6551001	6555256	6556083
2598	"IFFO1"	"IFFO1"	chr12	-	6549475	6549484	6548667	6548825	6549755	6549896
2599	"ZNF512"	"ZNF512"	chr2	+	27583657	27583716	27582968	27583142	27598069	27598254
2600	"ZNF512"	"ZNF512"	chr2	+	27583657	27583716	27582968	27583142	27598066	27598254
2601	"ZNF512"	"ZNF512"	chr2	+	27600690	27600815	27599969	27600053	27601355	27601442
2602	"ZNF512"	"ZNF512"	chr2	+	27583425	27583526	27582968	27583142	27583657	27583716
2603	"ZNF512"	"ZNF512"	chr2	+	27599969	27600053	27599582	27599678	27600690	27600815
2604	"PRR5"	"PRR5"	chr22	+	44702491	44702608	44676807	44677240	44714590	44714671
2605	"PRR5"	"PRR5"	chr22	+	44702491	44702608	44668546	44668805	44714590	44714671
2606	"PRR5"	"PRR5"	chr22	+	44679346	44679885	44676807	44677240	44702491	44702608
2607	"YY1AP1"	"YY1AP1"	chr1	-	155676547	155676746	155675009	155675096	155688070	155688201
2608	"YY1AP1"	"YY1AP1"	chr1	-	155668626	155668777	155661306	155661423	155670319	155670464
2609	"YY1AP1"	"YY1AP1"	chr1	-	155679927	155680008	155679408	155679512	155680415	155680456
2610	"YY1AP1"	"YY1AP1"	chr1	-	155679157	155679313	155676547	155676746	155679408	155679512
2611	"YY1AP1"	"YY1AP1"	chr1	-	155668626	155668717	155661306	155661423	155670319	155670464
2612	"YY1AP1"	"YY1AP1"	chr1	-	155680415	155680456	155679408	155679512	155688070	155688201
2613	"YY1AP1"	"YY1AP1"	chr1	-	155680415	155680456	155679408	155679512	155688658	155688724
2614	"YY1AP1"	"YY1AP1"	chr1	-	155680415	155680456	155675009	155675096	155688070	155688201
2615	"YY1AP1"	"YY1AP1"	chr1	-	155679408	155679512	155676547	155676746	155688070	155688201
2616	"YY1AP1"	"YY1AP1"	chr1	-	155688070	155688201	155680415	155680456	155688929	155689032
2617	"YY1AP1"	"YY1AP1"	chr1	-	155688070	155688201	155680415	155680456	155688658	155688777
2618	"YY1AP1"	"YY1AP1"	chr1	-	155688070	155688201	155679408	155679512	155688658	155688777
2619	"LOXHD1"	"LOXHD1"	chr18	-	46521096	46521282	46518128	46518256	46522100	46522309
2620	"FGF4"	"FGF4"	chr11	-	69774023	69774127	69773028	69773485	69774744	69775403
2621	"LGALSL"	"LGALSL"	chr2	+	64455588	64455677	64455343	64455415	64456287	64456465
2622	"LGALSL"	"LGALSL"	chr2	+	64455343	64455415	64454192	64454581	64456287	64456465
2623	"MAPK14"	"MAPK14"	chr6	+	36102570	36102649	36095986	36096066	36107454	36107628
2624	"CROCCP2"	"CROCCP2"	chr1	-	16626352	16626499	16625774	16626005	16627144	16627289
2625	"PNPLA4"	"PNPLA4"	chrX	-	7925939	7926132	7922003	7922098	7927685	7927739
2626	"SLC9B1"	"SLC9B1"	chr4	-	102912007	102912129	102911430	102911537	102932123	102932299
2627	"SLC9B1"	"SLC9B1"	chr4	-	102945192	102945320	102932123	102932299	102946646	102946789
2628	"TMEM241"	"TMEM241"	chr18	-	23430630	23430677	23421366	23421444	23437780	23437961
2629	"TMEM241"	"TMEM241"	chr18	-	23399565	23399647	23384989	23385067	23421366	23421444
2630	"IL2RA"	"IL2RA"	chr10	-	6021477	6021693	6019869	6019941	6024243	6024354
2631	"IL2RA"	"IL2RA"	chr10	-	6019869	6019941	6019427	6019499	6024243	6024354
2632	"CCDC115"	"CCDC115"	chr2	-	130339559	130339762	130337932	130339232	130340907	130341039
2633	"RFC2"	"RFC2"	chr7	-	74249011	74249118	74246661	74246763	74249738	74249780
2634	"RFC2"	"RFC2"	chr7	-	74249011	74249118	74243145	74243246	74249738	74249780
2635	"RFC2"	"RFC2"	chr7	-	74246661	74246763	74243145	74243246	74249011	74249118
2636	"RFC2"	"RFC2"	chr7	-	74246661	74246763	74243145	74243246	74249738	74249780
2637	"RFC2"	"RFC2"	chr7	-	74249011	74249220	74246661	74246763	74249738	74249780
2638	"RFC2"	"RFC2"	chr7	-	74249011	74249220	74243145	74243246	74249738	74249780
2639	"RNF219"	"RNF219"	chr13	-	78644861	78644997	78642121	78642213	78659048	78659179
2640	"SNX10"	"SNX10"	chr7	+	26357006	26357127	26346419	26346466	26360974	26361061
2641	"MARK2"	"MARK2"	chr11	+	63906087	63906114	63904785	63905043	63908876	63911020
2642	"MARK2"	"MARK2"	chr11	+	63906087	63906114	63904785	63905043	63908259	63908304
2643	"MARK2"	"MARK2"	chr11	+	63903060	63903158	63902603	63902782	63903985	63904147
2644	"MARK2"	"MARK2"	chr11	+	63908259	63908304	63904785	63905043	63908876	63911020
2645	"MARK2"	"MARK2"	chr11	+	63908259	63908304	63906087	63906114	63908876	63911020
2646	"MARK2"	"MARK2"	chr11	+	63903985	63904147	63903060	63903158	63904785	63905043
2647	"MARK2"	"MARK2"	chr11	+	63900956	63901069	63900779	63900879	63902197	63902330
2648	"MEGF6"	"MEGF6"	chr1	-	3508557	3508689	3507794	3507923	3509074	3509245
2649	"TRAPPC11"	"TRAPPC11"	chr4	+	183668002	183668117	183667059	183667130	183674712	183674812
2650	"TRAPPC11"	"TRAPPC11"	chr4	+	183675163	183675237	183674712	183674812	183677457	183677554
2651	"ISM2"	"ISM2"	chr14	-	77482321	77482667	77478574	77478715	77484322	77484565
2652	"PTPRM"	"PTPRM"	chr18	+	8252487	8252499	8248149	8248176	8253226	8253414
2653	"PTPRM"	"PTPRM"	chr18	+	8248149	8248176	8247844	8247919	8253226	8253414
2654	"MDN1"	"MDN1"	chr6	-	89776599	89776695	89774620	89774733	89780211	89780293
2655	"BSDC1"	"BSDC1"	chr1	-	32383829	32384048	32381213	32381268	32386778	32386895
2656	"BSDC1"	"BSDC1"	chr1	-	32369229	32369338	32368446	32368550	32376261	32376741
2657	"BSDC1"	"BSDC1"	chr1	-	32383829	32383997	32381213	32381268	32386778	32386895
2658	"BSDC1"	"BSDC1"	chr1	-	32386778	32386895	32381213	32381268	32394079	32394140
2659	"ELP5"	"ELP5"	chr17	+	7258825	7258926	7258587	7258683	7259570	7259940
2660	"ELP5"	"ELP5"	chr17	+	7256856	7257038	7254582	7254803	7258587	7259940
2661	"AOAH"	"AOAH"	chr7	-	36686698	36686794	36673942	36674009	36724021	36724549
2662	"AOAH"	"AOAH"	chr7	-	36514471	36514590	36512940	36513380	36522038	36522115
2663	"ABHD3"	"ABHD3"	chr18	-	21683919	21683965	21664117	21664230	21702315	21702498
2664	"ABHD3"	"ABHD3"	chr18	-	21664117	21664230	21659169	21659343	21702315	21702498
2665	"COX16"	"COX16"	chr14	-	70342657	70342729	70329173	70329236	70359518	70359731
2666	"DRC7"	"DRC7"	chr16	+	57696463	57696594	57694800	57694852	57697912	57698152
2667	"DRC7"	"DRC7"	chr16	+	57701935	57702130	57700144	57700270	57704875	57705034
2668	"ALDH5A1"	"ALDH5A1"	chr6	+	24511829	24511868	24504868	24504985	24515166	24515310
2669	"AP1S2"	"AP1S2"	chrX	-	15828191	15828200	15825805	15827372	15845378	15845516
2670	"TMEM139"	"TMEM139"	chr7	+	143285940	143286202	143284898	143284974	143286423	143288049
2671	"TMEM139"	"TMEM139"	chr7	+	143285940	143286202	143284949	143285445	143286423	143288049
2672	"TMEM139"	"TMEM139"	chr7	+	143285347	143285445	143284898	143284998	143286423	143288049
2673	"TMEM139"	"TMEM139"	chr7	+	143285347	143285445	143284898	143284974	143286423	143288049
2674	"TMEM139"	"TMEM139"	chr7	+	143285347	143285445	143284898	143284974	143285940	143286202
2675	"TMEM139"	"TMEM139"	chr7	+	143285344	143285445	143284898	143284974	143286423	143288049
2676	"TMEM139"	"TMEM139"	chr7	+	143285344	143285445	143284898	143284974	143285940	143286202
2677	"TMEM139"	"TMEM139"	chr7	+	143285553	143285640	143285347	143285445	143285940	143286202
2678	"AGAP5"	"AGAP5"	chr10	-	73697094	73697163	73694735	73694804	73697532	73697796
2679	"TBC1D17"	"TBC1D17"	chr19	+	49878142	49878241	49877424	49877744	49878497	49878572
2680	"TAC3"	"TAC3"	chr12	-	57012620	57012737	57012377	57012452	57012821	57012875
2681	"TAC3"	"TAC3"	chr12	-	57012821	57012875	57012377	57012452	57013358	57013388
2682	"RPUSD1"	"RPUSD1"	chr16	-	787076	787179	786826	786928	787353	787477
2683	"RPUSD1"	"RPUSD1"	chr16	-	787555	787744	787353	787477	788255	788383
2684	"GBE1"	"GBE1"	chr3	-	81646391	81646482	81642780	81642990	81648855	81648991
2685	"NDUFC1"	"NDUFC1"	chr4	-	139296331	139296367	139295731	139295960	139302415	139302551
2686	"NDUFC1"	"NDUFC1"	chr4	-	139297384	139297443	139295731	139295960	139302415	139302551
2687	"NDUFC1"	"NDUFC1"	chr4	-	139297384	139297443	139295731	139295960	139300601	139301210
2688	"CAMTA2"	"CAMTA2"	chr17	-	4982088	4982160	4981677	4981831	4982756	4982892
2689	"CAMTA2"	"CAMTA2"	chr17	-	4982088	4982160	4981224	4981359	4982756	4982892
2690	"CAMTA2"	"CAMTA2"	chr17	-	4973584	4973769	4973174	4973253	4974384	4974500
2691	"CAMTA2"	"CAMTA2"	chr17	-	4985879	4985983	4982975	4983043	4986191	4986286
2692	"CAMTA2"	"CAMTA2"	chr17	-	4981677	4981831	4981224	4981359	4982088	4982160
2693	"CAMTA2"	"CAMTA2"	chr17	-	4981677	4981831	4981224	4981359	4982756	4982892
2694	"CAMTA2"	"CAMTA2"	chr17	-	4986191	4986286	4985879	4985983	4987592	4987665
2695	"CAMTA2"	"CAMTA2"	chr17	-	4969499	4969520	4969149	4969337	4969629	4969701
2696	"GGA3"	"GGA3"	chr17	-	75248839	75249008	75246711	75246796	75261547	75261661
2697	"GGA3"	"GGA3"	chr17	-	75244618	75244717	75243446	75243570	75246508	75246584
2698	"MAPK11"	"MAPK11"	chr22	-	50267568	50267627	50267370	50267482	50267819	50267949
2699	"DCAF12"	"DCAF12"	chr9	-	34093285	34093448	34089411	34089590	34096715	34096781
2700	"THAP1"	"THAP1"	chr8	-	42839185	42839381	42836673	42838336	42843023	42843331
2701	"FLCN"	"FLCN"	chr17	-	17223921	17224143	17222500	17222661	17226175	17226322
2702	"FLCN"	"FLCN"	chr17	-	17216379	17216503	17215184	17215316	17217068	17217182
2703	"FLCN"	"FLCN"	chr17	-	17232787	17232901	17227888	17228161	17236911	17237188
2704	"FLCN"	"FLCN"	chr17	-	17231793	17231882	17227888	17228161	17232787	17232901
2705	"MIB2"	"MIB2"	chr1	+	1629384	1629566	1629132	1629311	1629638	1629704
2706	"MIB2"	"MIB2"	chr1	+	1625557	1625653	1625285	1625428	1626649	1626754
2707	"MIB2"	"MIB2"	chr1	+	1624990	1625185	1624794	1624901	1625285	1625428
2708	"MIB2"	"MIB2"	chr1	+	1625545	1625653	1625285	1625428	1626649	1626754
2709	"PIGF"	"PIGF"	chr2	-	46588074	46588179	46581273	46581591	46592474	46592583
2710	"AKAP10"	"AKAP10"	chr17	-	19940886	19941010	19939712	19939849	19941825	19941910
2711	"AKAP10"	"AKAP10"	chr17	-	19924407	19924517	19920035	19920118	19931804	19931978
2712	"CBWD2"	"CBWD2"	chr2	+	113471032	113471089	113462407	113462494	113482176	113482228
2713	"CBWD2"	"CBWD2"	chr2	+	113465128	113465173	113462407	113462494	113471032	113471089
2714	"CBWD2"	"CBWD2"	chr2	+	113460672	113460719	113454740	113454778	113462407	113462494
2715	"E2F4"	"E2F4"	chr16	+	67194397	67194459	67193471	67193515	67194685	67194980
2716	"E2F4"	"E2F4"	chr16	+	67194397	67194459	67192760	67192870	67194685	67194980
2717	"E2F4"	"E2F4"	chr16	+	67197866	67197911	67197598	67197646	67198007	67198918
2718	"ADAMTSL5"	"ADAMTSL5"	chr19	-	1508442	1508570	1507997	1508109	1510149	1510258
2719	"CYSTM1"	"CYSTM1"	chr5	+	140194445	140194652	140175067	140175285	140243304	140243789
2720	"IL6R"	"IL6R"	chr1	+	154454487	154454581	154449910	154449980	154465133	154469450
2721	"RC3H2"	"RC3H2"	chr9	-	122892908	122893026	122890311	122890545	122897278	122897576
2722	"RC3H2"	"RC3H2"	chr9	-	122857922	122858093	122855731	122855878	122858668	122859102
2723	"RC3H2"	"RC3H2"	chr9	-	122851322	122851436	122851080	122851229	122853951	122854086
2724	"DKC1"	"DKC1"	chrX	+	154766996	154767061	154766215	154766400	154767255	154767382
2725	"DKC1"	"DKC1"	chrX	+	154768301	154768802	154767255	154767382	154769166	154769310
2726	"DKC1"	"DKC1"	chrX	+	154768301	154768432	154767255	154767382	154769166	154769310
2727	"HBS1L"	"HBS1L"	chr6	-	134969237	134969338	134966328	134966473	134978678	134978787
2728	"HBS1L"	"HBS1L"	chr6	-	135050581	135050647	135042000	135042126	135054648	135054898
2729	"HBS1L"	"HBS1L"	chr6	-	135042000	135042126	135039572	135039767	135050581	135050647
2730	"KPTN"	"KPTN"	chr19	-	47481578	47481634	47480957	47481033	47483125	47483215
2731	"ZFR"	"ZFR"	chr5	-	32417647	32417792	32414968	32415187	32419820	32420103
2732	"ZFR"	"ZFR"	chr5	-	32403105	32403397	32400006	32400203	32403905	32404097
2733	"ATRN"	"ATRN"	chr20	+	3596376	3596429	3594478	3594572	3597905	3598000
2734	"FKBP5"	"FKBP5"	chr6	-	35591129	35591220	35587033	35587117	35597247	35597404
2735	"HERC3"	"HERC3"	chr4	+	88676217	88676241	88670138	88670252	88676333	88676423
2736	"HERC3"	"HERC3"	chr4	+	88605794	88606049	88595556	88595614	88649839	88649999
2737	"HERC3"	"HERC3"	chr4	+	88677963	88678134	88676333	88676423	88680092	88680236
2738	"HOXB-AS3"	"HOXB-AS3"	chr17	+	48601427	48601663	48600446	48600545	48602074	48602341
2739	"HOXB-AS3"	"HOXB-AS3"	chr17	+	48600446	48600545	48595957	48596123	48602074	48602341
2740	"VWA8"	"VWA8"	chr13	-	41891419	41891587	41887196	41887361	41907585	41907696
2741	"VWA8"	"VWA8"	chr13	-	41719590	41719742	41703302	41703411	41721369	41721575
2742	"DAZAP1"	"DAZAP1"	chr19	+	1433738	1433827	1432513	1432690	1434736	1435687
2743	"DAZAP1"	"DAZAP1"	chr19	+	1425877	1425960	1422347	1422396	1428841	1428995
2744	"PPIL4"	"PPIL4"	chr6	-	149521059	149521171	149517353	149517450	149525142	149525209
2745	"PCYT1A"	"PCYT1A"	chr3	-	196283474	196283538	196270414	196270541	196287614	196287713
2746	"SLC13A5"	"SLC13A5"	chr17	-	6707027	6707156	6706641	6706778	6713231	6713421
2747	"SLC13A5"	"SLC13A5"	chr17	-	6687528	6687666	6684712	6686338	6690778	6690940
2748	"SSR1"	"SSR1"	chr6	-	7297922	7298001	7295391	7295485	7298746	7298823
2749	"SSR1"	"SSR1"	chr6	-	7295391	7295485	7281142	7289931	7297922	7298001
2750	"DYNC1H1"	"DYNC1H1"	chr14	+	102034324	102034452	102033975	102034188	102036488	102036642
2751	"DYNC1H1"	"DYNC1H1"	chr14	+	102038459	102038606	102036488	102036642	102038697	102038848
2752	"DYNC1H1"	"DYNC1H1"	chr14	+	101988702	101988852	101987452	101987632	101991526	101991673
2753	"DYNC1H1"	"DYNC1H1"	chr14	+	102041573	102041734	102039637	102039732	102042012	102042124
2754	"SFSWAP"	"SFSWAP"	chr12	+	131764455	131764686	131756472	131756644	131766117	131766308
2755	"SFSWAP"	"SFSWAP"	chr12	+	131728292	131728428	131726939	131727052	131753122	131753363
2756	"SFSWAP"	"SFSWAP"	chr12	+	131785072	131785228	131778064	131778330	131786462	131786588
2757	"MTCH1"	"MTCH1"	chr6	-	36970405	36970473	36970038	36970114	36970646	36970694
2758	"MTCH1"	"MTCH1"	chr6	-	36981587	36981672	36978504	36978611	36985852	36986551
2759	"SPATA8"	"SPATA8"	chr15	+	96783744	96783830	96783406	96783589	96784152	96784259
2760	"TRIM4"	"TRIM4"	chr7	-	99916701	99916779	99909564	99909660	99919008	99919600
2761	"VIT"	"VIT"	chr2	+	36781726	36781771	36775001	36775067	36783339	36783402
2762	"VIT"	"VIT"	chr2	+	36783339	36783402	36775001	36775067	36787128	36787276
2763	"VIT"	"VIT"	chr2	+	36775001	36775067	36773790	36773847	36783339	36783402
2764	"ERBB2IP"	"ERBB2IP"	chr5	+	66075023	66075230	66053405	66054951	66076315	66076408
2765	"ERBB2IP"	"ERBB2IP"	chr5	+	66076874	66076949	66076315	66076408	66078422	66081023
2766	"ERBB2IP"	"ERBB2IP"	chr5	+	66024305	66024450	66023289	66023364	66025479	66025552
2767	"ERBB2IP"	"ERBB2IP"	chr5	+	66072168	66072291	66053405	66054951	66075023	66075230
2768	"ERBB2IP"	"ERBB2IP"	chr5	+	66068876	66069020	66053405	66054951	66075023	66075230
2769	"ERBB2IP"	"ERBB2IP"	chr5	+	66038382	66038482	66028273	66028343	66043076	66043198
2770	"THUMPD3"	"THUMPD3"	chr3	+	9377818	9377888	9374515	9374646	9383198	9383309
2771	"THUMPD3"	"THUMPD3"	chr3	+	9380502	9380618	9377818	9377888	9383198	9383309
2772	"GMFG"	"GMFG"	chr19	-	39335434	39335531	39335260	39335310	39335973	39336086
2773	"MIR762HG"	"MIR762HG"	chr16	+	30888713	30888958	30875459	30876118	30894547	30895218
2774	"HGFAC"	"HGFAC"	chr4	+	3445875	3445896	3445264	3445350	3446041	3446294
2775	"RNLS"	"RNLS"	chr10	-	88581566	88581709	88572902	88573061	88582201	88582307
2776	"CD44"	"CD44"	chr11	+	35180273	35180407	35176574	35176740	35186831	35186900
2777	"CD44"	"CD44"	chr11	+	35208104	35208206	35189834	35190065	35211245	35211449
2778	"CD44"	"CD44"	chr11	+	35196745	35196874	35189834	35190065	35198120	35198246
2779	"CD44"	"CD44"	chr11	+	35176574	35176740	35138869	35139370	35186831	35186900
2780	"CD44"	"CD44"	chr11	+	35211245	35211449	35189834	35190065	35214851	35214914
2781	"CD44"	"CD44"	chr11	+	35211245	35211449	35209964	35210054	35214851	35214914
2782	"CD44"	"CD44"	chr11	+	35209964	35210054	35208104	35208206	35211245	35211449
2783	"CD44"	"CD44"	chr11	+	35221653	35221732	35219315	35219387	35229128	35232402
2784	"CD44"	"CD44"	chr11	+	35214851	35214914	35189834	35190065	35219315	35219387
2785	"CD44"	"CD44"	chr11	+	35198120	35198246	35189834	35190065	35208104	35208206
2786	"CD44"	"CD44"	chr11	+	35198120	35198246	35189834	35190065	35214851	35214914
2787	"CD44"	"CD44"	chr11	+	35198120	35198246	35189834	35190065	35201081	35201195
2788	"DEFA1B"	"DEFA1B"	chr8	-	6979116	6979160	6978459	6978646	6980012	6980092
2789	"DEFA1B"	"DEFA1B"	chr8	-	6998233	6998277	6997576	6997763	6999122	6999202
2790	"TTLL1"	"TTLL1"	chr22	-	43070170	43070242	43069603	43069844	43075473	43075590
2791	"MARVELD2"	"MARVELD2"	chr5	+	208023	208059	202793	203954	215507	215656
2792	"MARVELD2"	"MARVELD2"	chr5	+	69424600	69424636	69419370	69420531	69432526	69432675
2793	"ZNF419"	"ZNF419"	chr19	+	57490130	57490185	57487710	57487983	57491467	57491597
2794	"ZNF419"	"ZNF419"	chr19	+	57492112	57492211	57491470	57491597	57492855	57494680
2795	"ZNF419"	"ZNF419"	chr19	+	57490146	57490185	57487710	57487983	57491467	57491597
2796	"ZNF419"	"ZNF419"	chr19	+	57490146	57490185	57487710	57487983	57491470	57491597
2797	"FAIM"	"FAIM"	chr3	+	138619710	138619770	138608699	138608937	138621406	138621539
2798	"FAIM"	"FAIM"	chr3	+	138622187	138622416	138621406	138621539	138629106	138629156
2799	"FAIM"	"FAIM"	chr3	+	138610603	138611037	138608699	138608937	138621406	138621539
2800	"U2AF2"	"U2AF2"	chr19	+	55669082	55669169	55668669	55668792	55669443	55669692
2801	"U2AF2"	"U2AF2"	chr19	+	55669082	55669181	55668669	55668792	55669443	55669692
2802	"NEURL3"	"NEURL3"	chr2	-	96504530	96504709	96500438	96500924	96505258	96505385
2803	"NEURL3"	"NEURL3"	chr2	-	96499189	96499274	96497642	96498446	96499377	96499449
2804	"NOSTRIN"	"NOSTRIN"	chr2	+	168850835	168851006	168842991	168843117	168851083	168851182
2805	"NOSTRIN"	"NOSTRIN"	chr2	+	20473	20644	12629	12755	20721	20820
2806	"NOSTRIN"	"NOSTRIN"	chr2	+	168811566	168811652	168802589	168802673	168824633	168824717
2807	"NOSTRIN"	"NOSTRIN"	chr2	+	168824633	168824717	168811566	168811652	168828157	168828220
2808	"ZNF708"	"ZNF708"	chr19	-	21327959	21328141	21309245	21309341	21329209	21329439
2809	"ZNF708"	"ZNF708"	chr19	-	21310500	21310627	21309245	21309341	21329209	21329410
2810	"NT5C1B"	"NT5C1B"	chr2	-	18586993	18587173	18586247	18586391	18587502	18587592
2811	"NT5C1B"	"NT5C1B"	chr2	-	18586942	18587173	18586253	18586391	18587502	18587592
2812	"NT5C1B"	"NT5C1B"	chr2	-	18586993	18587122	18586253	18586391	18587502	18587592
2813	"ODF2L"	"ODF2L"	chr1	-	86368635	86368722	86360425	86360536	86371017	86371153
