ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
293	"STIL"	"STIL"	chr1	-	47299904	47300152	47299904	47299968	47300109	47300152
294	"LCOR"	"LCOR"	chr10	+	96954952	96964441	96954952	96955834	96958411	96964441
295	"ZNF135"	"ZNF135"	chr19	+	58066740	58069742	58066740	58067567	58068407	58069742
296	"EPHB6"	"EPHB6"	chr7	+	142863965	142864749	142863965	142864262	142864533	142864749
297	"EPHB6"	"EPHB6"	chr7	+	887008	887792	887008	887305	887576	887792
298	"LGSN"	"LGSN"	chr6	-	63275950	63281220	63275950	63280600	63281021	63281220
299	"DYRK1B"	"DYRK1B"	chr19	-	39826671	39826987	39826671	39826867	39826951	39826987
300	"COL25A1"	"COL25A1"	chr4	-	108810720	108813929	108810720	108812256	108812703	108813929
301	"COL25A1"	"COL25A1"	chr4	-	109301722	109302367	109301722	109302075	109302302	109302367
302	"INS"	"INS"	chr11	-	2160784	2161209	2160784	2160988	2161141	2161209
303	"INS"	"INS"	chr11	-	2160784	2161209	2160784	2160988	2161107	2161209
304	"INS"	"INS"	chr11	-	2160784	2161209	2160784	2160988	2161167	2161209
305	"VAMP4"	"VAMP4"	chr1	-	171700155	171704534	171700155	171702084	171704386	171704534
306	"PER3"	"PER3"	chr1	+	7829836	7830161	7829836	7829951	7830005	7830161
307	"SETMAR"	"SETMAR"	chr3	+	4312897	4313761	4312897	4313229	4313646	4313761
308	"CCDC33"	"CCDC33"	chr15	+	74334974	74336141	74334974	74335088	74335924	74336141
309	"GNRH1"	"GNRH1"	chr8	-	25423189	25425040	25423189	25423331	25424200	25425040
310	"RAMP2-AS1"	"RAMP2-AS1"	chr17	-	42760425	42760711	42760425	42760513	42760634	42760711
311	"CYP4F11"	"CYP4F11"	chr19	-	15934210	15934866	15934210	15934409	15934831	15934866
312	"PQBP1"	"PQBP1"	chrX	+	48898255	48898576	48898255	48898346	48898491	48898576
313	"NEK1"	"NEK1"	chr4	-	169612019	169612627	169612019	169612143	169612221	169612627
314	"IP6K2"	"IP6K2"	chr3	-	48693450	48695418	48693450	48694240	48695089	48695418
315	"SRSF2"	"SRSF2"	chr17	-	76734114	76736464	76734114	76735158	76736153	76736464
316	"NFKBIB"	"NFKBIB"	chr19	+	38907398	38908894	38907398	38907659	38908730	38908894
317	"CCDC88A"	"CCDC88A"	chr2	-	55295596	55296056	55295596	55295727	55295949	55296056
318	"C14orf93"	"C14orf93"	chr14	-	22998426	22999402	22998426	22998741	22999053	22999402
319	"C14orf93"	"C14orf93"	chr14	-	22986900	22987634	22986900	22987399	22987519	22987634
320	"PFKM"	"PFKM"	chr12	+	48122646	48122859	48122646	48122677	48122766	48122859
321	"CREBZF"	"CREBZF"	chr11	-	85657563	85662457	85657563	85660597	85662388	85662457
322	"CREBZF"	"CREBZF"	chr11	-	85657563	85665138	85657563	85662457	85663523	85665138
323	"CREBZF"	"CREBZF"	chr11	-	85663523	85665138	85663523	85663601	85663814	85665138
324	"NDUFS2"	"NDUFS2"	chr1	+	161213863	161214394	161213863	161213921	161214155	161214394
325	"LPPR3"	"LPPR3"	chr19	-	814433	814749	814433	814607	814691	814749
326	"AMBRA1"	"AMBRA1"	chr11	-	46541944	46543398	46541944	46542981	46543251	46543398
327	"INVS"	"INVS"	chr9	+	100292325	100293043	100292325	100292436	100292946	100293043
328	"WTAP"	"WTAP"	chr6	+	159748190	159749421	159748190	159748369	159748589	159749421
329	"KIAA0141"	"KIAA0141"	chr5	+	141938520	141942047	141938520	141938760	141939553	141942047
330	"MED8"	"MED8"	chr1	-	43383907	43385106	43383907	43384552	43385045	43385106
331	"IDH3G"	"IDH3G"	chrX	-	153785765	153786272	153785765	153785973	153786211	153786272
332	"NT5C3B"	"NT5C3B"	chr17	-	41835858	41836271	41835858	41835957	41836181	41836271
333	"TMEM106A"	"TMEM106A"	chr17	+	43213020	43213252	43213020	43213045	43213189	43213252
334	"TRPC4"	"TRPC4"	chr13	-	37636635	37637625	37636635	37637231	37637483	37637625
335	"FOXO4"	"FOXO4"	chrX	+	71096148	71096981	71096148	71096699	71096864	71096981
336	"AGXT2"	"AGXT2"	chr5	-	34998100	34998826	34998100	34998402	34998673	34998826
337	"STYX"	"STYX"	chr14	+	52730164	52730531	52730164	52730210	52730458	52730531
338	"ZNF714"	"ZNF714"	chr19	+	21116806	21125080	21116806	21118885	21124960	21125080
339	"TOMM40"	"TOMM40"	chr19	+	44891219	44891689	44891219	44891314	44891406	44891689
340	"TOMM40"	"TOMM40"	chr19	+	44891219	44891689	44891219	44891314	44891409	44891689
341	"ROPN1L"	"ROPN1L"	chr5	+	10441861	10442298	10441861	10442003	10442126	10442298
342	"GCH1"	"GCH1"	chr14	-	54842005	54844143	54842005	54843054	54844000	54844143
343	"LINC00869"	"LINC00869"	chr1	+	149646598	149647668	149646598	149646945	149647380	149647668
344	"LINC00869"	"LINC00869"	chr1	+	149646598	149647668	149646598	149646785	149647383	149647668
345	"NIPSNAP3B"	"NIPSNAP3B"	chr9	+	104772996	104777764	104772996	104773176	104777127	104777764
346	"ATP5D"	"ATP5D"	chr19	+	1244314	1244825	1244314	1244440	1244736	1244825
347	"ENKUR"	"ENKUR"	chr10	-	24981978	24984376	24981978	24982770	24984209	24984376
348	"OTOF"	"OTOF"	chr2	-	26477648	26478042	26477648	26477749	26477843	26478042
349	"SPIN2B"	"SPIN2B"	chrX	-	57119681	57120631	57119681	57120101	57120404	57120631
350	"MAP7D1"	"MAP7D1"	chr1	+	36176198	36176581	36176198	36176321	36176417	36176581
351	"IL17RC"	"IL17RC"	chr3	+	9923880	9924291	9923880	9924020	9924231	9924291
352	"QSOX1"	"QSOX1"	chr1	+	180196261	180198034	180196261	180196599	180197332	180198034
353	"MYADM"	"MYADM"	chr19	+	53869390	53869838	53869390	53869598	53869753	53869838
354	"NDUFB4"	"NDUFB4"	chr3	+	120601110	120602411	120601110	120601257	120602207	120602411
355	"TMEM9"	"TMEM9"	chr1	-	201153857	201154555	201153857	201153959	201154147	201154555
356	"TMEM9"	"TMEM9"	chr1	-	201153857	201154555	201153857	201153959	201154309	201154555
357	"TMEM9"	"TMEM9"	chr1	-	201153857	201154555	201153857	201153959	201154361	201154555
358	"TMEM9"	"TMEM9"	chr1	-	201153857	201154555	201153857	201153959	201154448	201154555
359	"TMEM9"	"TMEM9"	chr1	-	201153857	201154555	201153857	201153959	201154444	201154555
360	"FILIP1L"	"FILIP1L"	chr3	-	99848294	99851070	99848294	99850427	99850932	99851070
361	"RPL17"	"RPL17"	chr18	-	49491531	49491833	49491531	49491584	49491735	49491833
362	"BZRAP1-AS1"	"BZRAP1-AS1"	chr17	+	58337201	58337679	58337201	58337310	58337447	58337679
363	"PRKAR2A-AS1"	"PRKAR2A-AS1"	chr3	+	48847936	48848408	48847936	48848025	48848104	48848408
364	"TRIM14"	"TRIM14"	chr9	-	98084352	98088005	98084352	98084466	98087441	98088005
365	"CD274"	"CD274"	chr9	+	5462833	5463121	5462833	5462968	5463074	5463121
366	"MIER1"	"MIER1"	chr1	+	66984571	66988619	66984571	66984592	66986402	66988619
367	"MIER1"	"MIER1"	chr1	+	66984571	66988619	66984571	66984652	66986402	66988619
368	"ZNRD1"	"ZNRD1"	chr6	+	1319337	1319767	1319337	1319496	1319612	1319767
369	"ZNRD1"	"ZNRD1"	chr6	+	1360161	1360591	1360161	1360335	1360436	1360591
370	"ZNRD1"	"ZNRD1"	chr6	+	1316421	1316852	1316421	1316581	1316697	1316852
371	"ZNRD1"	"ZNRD1"	chr6	+	1316421	1316852	1316421	1316571	1316697	1316852
372	"ZNRD1"	"ZNRD1"	chr6	+	1316421	1316852	1316421	1316596	1316697	1316852
373	"ZNRD1"	"ZNRD1"	chr6	+	1317161	1317591	1317161	1317320	1317436	1317591
374	"ZNRD1"	"ZNRD1"	chr6	+	1541016	1541446	1541016	1541190	1541291	1541446
375	"ZNRD1"	"ZNRD1"	chr6	+	1541016	1541446	1541016	1541166	1541291	1541446
376	"ZNRD1"	"ZNRD1"	chr6	+	1541016	1541446	1541016	1541175	1541291	1541446
377	"ZNRD1"	"ZNRD1"	chr6	+	1360161	1360591	1360161	1360320	1360436	1360591
378	"ZNRD1"	"ZNRD1"	chr6	+	1319337	1319767	1319337	1319511	1319612	1319767
379	"ZNRD1"	"ZNRD1"	chr6	+	1319337	1319767	1319337	1319487	1319612	1319767
380	"ZNRD1"	"ZNRD1"	chr6	+	30061239	30061669	30061239	30061413	30061514	30061669
381	"ZNRD1"	"ZNRD1"	chr6	+	1317161	1317591	1317161	1317335	1317436	1317591
382	"ZNRD1"	"ZNRD1"	chr6	+	1405332	1405762	1405332	1405491	1405607	1405762
383	"ZNRD1"	"ZNRD1"	chr6	+	1405332	1405762	1405332	1405482	1405607	1405762
384	"ZNRD1"	"ZNRD1"	chr6	+	1405332	1405762	1405332	1405506	1405607	1405762
385	"ZNRD1"	"ZNRD1"	chr6	+	1321993	1322423	1321993	1322143	1322268	1322423
386	"ZNRD1"	"ZNRD1"	chr6	+	1317161	1317591	1317161	1317311	1317436	1317591
387	"ZNRD1"	"ZNRD1"	chr6	+	1321993	1322423	1321993	1322152	1322268	1322423
388	"ZNRD1"	"ZNRD1"	chr6	+	1360161	1360591	1360161	1360311	1360436	1360591
389	"ZNRD1"	"ZNRD1"	chr6	+	30061239	30061669	30061239	30061389	30061514	30061669
390	"ZNRD1"	"ZNRD1"	chr6	+	30061239	30061669	30061239	30061398	30061514	30061669
391	"ZNRD1"	"ZNRD1"	chr6	+	1321993	1322423	1321993	1322167	1322268	1322423
392	"SLC22A12"	"SLC22A12"	chr11	+	64590809	64591958	64590809	64591547	64591658	64591958
393	"TESPA1"	"TESPA1"	chr12	-	54973476	54973732	54973476	54973519	54973610	54973732
394	"SNHG21"	"SNHG21"	chr15	+	82756903	82757206	82756903	82756939	82757045	82757206
395	"MSH2"	"MSH2"	chr2	+	47403066	47403402	47403066	47403175	47403359	47403402
396	"LINC00685"	"LINC00685"	chrX	+	0	1982	0	214	870	1982
397	"LINC00685"	"LINC00685"	chrX	+	319144	321319	319144	319551	320207	321319
398	"NGRN"	"NGRN"	chr15	+	90265662	90266398	90265662	90265876	90266287	90266398
399	"CLEC4M"	"CLEC4M"	chr19	+	7765637	7766207	7765637	7765915	7766053	7766207
400	"CLEC4M"	"CLEC4M"	chr19	+	7765616	7766807	7765616	7765862	7766655	7766807
401	"CLEC4M"	"CLEC4M"	chr19	+	7765637	7766807	7765637	7765931	7766655	7766807
402	"CLEC4M"	"CLEC4M"	chr19	+	7765637	7766807	7765637	7766207	7766655	7766807
403	"CLEC4M"	"CLEC4M"	chr19	+	7765637	7766207	7765637	7765783	7765852	7766207
404	"CLEC4M"	"CLEC4M"	chr19	+	7765616	7766807	7765616	7766069	7766655	7766807
405	"DNAJB12"	"DNAJB12"	chr10	-	72332829	72335931	72332829	72334617	72335779	72335931
406	"IRX2"	"IRX2"	chr5	-	2746164	2747616	2746164	2746786	2747540	2747616
407	"MCM4"	"MCM4"	chr8	+	47960202	47961214	47960202	47961014	47961130	47961214
408	"SF3B1"	"SF3B1"	chr2	-	197418796	197420542	197418796	197418951	197420427	197420542
409	"CANT1"	"CANT1"	chr17	-	78996991	78997963	78996991	78997644	78997839	78997963
410	"AMT"	"AMT"	chr3	-	49416777	49417718	49416777	49417367	49417614	49417718
411	"EGR2"	"EGR2"	chr10	-	62815860	62816366	62815860	62815969	62816069	62816366
412	"EGR2"	"EGR2"	chr10	-	62815860	62816366	62815860	62816069	62816252	62816366
413	"GPX1"	"GPX1"	chr3	-	49357175	49358358	49357175	49357747	49358026	49358358
414	"NSUN5P1"	"NSUN5P1"	chr7	+	75416274	75416792	75416274	75416415	75416485	75416792
415	"NSUN5P1"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415778	75415980	75416191
416	"ACAA1"	"ACAA1"	chr3	-	38126161	38126700	38126161	38126341	38126509	38126700
417	"ZNF582-AS1"	"ZNF582-AS1"	chr19	+	56393675	56394441	56393675	56394053	56394216	56394441
418	"ZNF582-AS1"	"ZNF582-AS1"	chr19	+	56398276	56399170	56398276	56398383	56398893	56399170
419	"PRRT4"	"PRRT4"	chr7	-	128350324	128352678	128350324	128351414	128352448	128352678
420	"DFFA"	"DFFA"	chr1	-	10460545	10463209	10460545	10461702	10463057	10463209
421	"LINC01534"	"LINC01534"	chr19	-	36685438	36686015	36685438	36685511	36685836	36686015
422	"SCRN2"	"SCRN2"	chr17	-	47837680	47838450	47837680	47838002	47838269	47838450
423	"PNMA3"	"PNMA3"	chrX	+	153056949	153060467	153056949	153058360	153058481	153060467
424	"BRWD1"	"BRWD1"	chr21	-	39185477	39197415	39185477	39187417	39196497	39197415
425	"C11orf49"	"C11orf49"	chr11	+	47161126	47162247	47161126	47161190	47161445	47162247
426	"C11orf49"	"C11orf49"	chr11	+	47161126	47162247	47161126	47161190	47161463	47162247
427	"CCDC107"	"CCDC107"	chr9	+	35660745	35661503	35660745	35660858	35660939	35661503
428	"ZNF226"	"ZNF226"	chr19	+	44165587	44165807	44165587	44165613	44165756	44165807
429	"PCDHB6"	"PCDHB6"	chr5	+	141150021	141153287	141150021	141150289	141150494	141153287
430	"DDAH2"	"DDAH2"	chr6	-	3070739	3072140	3070739	3071100	3071925	3072140
431	"DDAH2"	"DDAH2"	chr6	-	3028160	3029561	3028160	3028521	3029346	3029561
432	"DDAH2"	"DDAH2"	chr6	-	3206152	3207553	3206152	3206513	3207338	3207553
433	"DDAH2"	"DDAH2"	chr6	-	2976625	2978026	2976625	2976986	2977811	2978026
434	"DDAH2"	"DDAH2"	chr6	-	2984675	2986076	2984675	2985036	2985861	2986076
435	"DDAH2"	"DDAH2"	chr6	-	31728864	31730265	31728864	31729225	31730050	31730265
436	"DDAH2"	"DDAH2"	chr6	-	3033911	3035312	3033911	3034272	3035097	3035312
437	"UBL7"	"UBL7"	chr15	-	74460667	74461188	74460667	74460778	74461036	74461188
438	"GAREML"	"GAREML"	chr2	+	26187230	26189663	26187230	26187315	26187714	26189663
439	"ZNF280B"	"ZNF280B"	chr22	-	120080	125123	120080	121635	122517	125123
440	"ZNF280B"	"ZNF280B"	chr22	-	22484425	22489466	22484425	22485978	22486860	22489466
441	"NCF4"	"NCF4"	chr22	+	99280	99722	99280	99411	99656	99722
442	"NCF4"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094
443	"RPRD1A"	"RPRD1A"	chr18	-	35989823	35993300	35989823	35990595	35993101	35993300
444	"COCH"	"COCH"	chr14	+	30874534	30874972	30874534	30874591	30874915	30874972
445	"SLC25A21"	"SLC25A21"	chr14	-	36677920	36680719	36677920	36678484	36680661	36680719
446	"SAA1"	"SAA1"	chr11	+	18266260	18266443	18266260	18266296	18266382	18266443
447	"APOC1P1"	"APOC1P1"	chr19	+	44926802	44927033	44926802	44926832	44926955	44927033
448	"CCPG1"	"CCPG1"	chr15	-	55355222	55360944	55355222	55356409	55359538	55360944
449	"CCPG1"	"CCPG1"	chr15	-	55359538	55360944	55359538	55359690	55360839	55360944
450	"CIRBP"	"CIRBP"	chr19	+	1271980	1273172	1271980	1272051	1272426	1273172
451	"PTEN"	"PTEN"	chr10	+	87863437	87864548	87863437	87864103	87864104	87864548
452	"PPIL2"	"PPIL2"	chr22	+	21695393	21697913	21695393	21695496	21696746	21697913
453	"TMEM147"	"TMEM147"	chr19	+	35545599	35545957	35545599	35545816	35545887	35545957
454	"RPRD2"	"RPRD2"	chr1	+	150470560	150476565	150470560	150471742	150471882	150476565
455	"ZNF767P"	"ZNF767P"	chr7	-	149547153	149549374	149547153	149547776	149549192	149549374
456	"EIF3C"	"EIF3C"	chr16	-	28403517	28403888	28403517	28403648	28403786	28403888
457	"EIF3C"	"EIF3C"	chr16	-	28403517	28403888	28403517	28403648	28403737	28403888
458	"EIF3C"	"EIF3C"	chr16	-	28711416	28711787	28711416	28711567	28711656	28711787
459	"EIF3C"	"EIF3C"	chr16	-	28711416	28711787	28711416	28711518	28711656	28711787
460	"C1QTNF6"	"C1QTNF6"	chr22	-	37180165	37182735	37180165	37180867	37182151	37182735
461	"GH2"	"GH2"	chr17	-	63880211	63880936	63880211	63880518	63880775	63880936
462	"GH2"	"GH2"	chr17	-	63880211	63880936	63880211	63880518	63880771	63880936
463	"PIP4K2C"	"PIP4K2C"	chr12	+	57601525	57603428	57601525	57601636	57601925	57603428
464	"FAM3A"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515968	154516242
465	"FAM3A"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242
466	"FAM127B"	"FAM127B"	chrX	-	135050932	135052191	135050932	135051368	135051916	135052191
467	"ZKSCAN1"	"ZKSCAN1"	chr7	+	100023418	100023932	100023418	100023461	100023551	100023932
468	"DMRT2"	"DMRT2"	chr9	+	1055721	1057554	1055721	1055799	1056215	1057554
469	"LOC100129917"	"LOC100129917"	chr4	-	780148	781848	780148	780688	781771	781848
470	"MRPS21"	"MRPS21"	chr1	+	150293841	150294449	150293841	150293898	150294334	150294449
471	"SSSCA1"	"SSSCA1"	chr11	+	65570458	65570755	65570458	65570510	65570603	65570755
472	"CHAC1"	"CHAC1"	chr15	+	40955372	40956519	40955372	40955414	40955549	40956519
473	"BIRC3"	"BIRC3"	chr11	+	102321836	102325362	102321836	102321900	102324460	102325362
474	"LUC7L3"	"LUC7L3"	chr17	+	50750500	50752711	50750500	50750694	50752199	50752711
475	"DNAJC4"	"DNAJC4"	chr11	+	64233893	64234281	64233893	64233980	64234072	64234281
476	"CBS"	"CBS"	chr21	-	6444868	6445661	6444868	6445325	6445539	6445661
477	"CBS"	"CBS"	chr21	-	43053190	43053983	43053190	43053647	43053861	43053983
478	"TTI2"	"TTI2"	chr8	-	33511966	33513185	33511966	33512712	33512959	33513185
479	"TTI2"	"TTI2"	chr8	-	33511966	33513185	33511966	33512712	33513081	33513185
480	"MSTO1"	"MSTO1"	chr1	+	155610169	155610560	155610169	155610332	155610424	155610560
481	"UPK3B"	"UPK3B"	chr7	+	76510422	76511052	76510422	76510737	76510902	76511052
482	"UPK3B"	"UPK3B"	chr7	+	9509	10139	9509	9824	9989	10139
483	"VAMP1"	"VAMP1"	chr12	-	6462237	6464941	6462237	6462842	6464889	6464941
484	"VAMP1"	"VAMP1"	chr12	-	6462237	6464941	6462237	6464486	6464889	6464941
485	"VAMP1"	"VAMP1"	chr12	-	6462237	6464941	6462237	6462969	6464889	6464941
486	"IL21"	"IL21"	chr4	-	122612627	122612928	122612627	122612760	122612850	122612928
487	"THAP7"	"THAP7"	chr22	-	21001831	21002115	21001831	21001911	21002085	21002115
488	"RND3"	"RND3"	chr2	-	150487267	150487695	150487267	150487455	150487548	150487695
489	"RNF39"	"RNF39"	chr6	-	1331015	1332441	1331015	1331950	1332148	1332441
490	"RNF39"	"RNF39"	chr6	-	1369184	1370610	1369184	1370119	1370317	1370610
491	"RNF39"	"RNF39"	chr6	-	30070265	30071691	30070265	30071200	30071398	30071691
492	"RNF39"	"RNF39"	chr6	-	1414355	1415781	1414355	1415290	1415488	1415781
493	"RNF39"	"RNF39"	chr6	-	1326181	1327607	1326181	1327116	1327314	1327607
494	"RNF39"	"RNF39"	chr6	-	1328357	1329783	1328357	1329292	1329490	1329783
495	"RNF39"	"RNF39"	chr6	-	1550036	1551462	1550036	1550971	1551169	1551462
496	"RNF39"	"RNF39"	chr6	-	1325425	1326846	1325425	1326355	1326553	1326846
497	"LINC01481"	"LINC01481"	chr12	-	70243065	70243360	70243065	70243204	70243311	70243360
498	"CELF5"	"CELF5"	chr19	+	3293318	3297075	3293318	3293486	3296757	3297075
499	"SLC46A3"	"SLC46A3"	chr13	-	28700080	28701581	28700080	28700956	28701500	28701581
500	"FAM195B"	"FAM195B"	chr17	-	81822360	81823311	81822360	81822907	81823208	81823311
501	"ABLIM3"	"ABLIM3"	chr5	+	149141482	149142108	149141482	149141654	149142008	149142108
502	"LINC00293"	"LINC00293"	chr8	+	46848783	46849530	46848783	46848901	46849448	46849530
503	"BCKDK"	"BCKDK"	chr16	+	31111868	31112791	31111868	31112027	31112120	31112791
504	"DUSP18"	"DUSP18"	chr22	-	30661457	30664080	30661457	30663728	30663838	30664080
505	"MYOT"	"MYOT"	chr5	+	137870440	137871007	137870440	137870525	137870876	137871007
506	"GMPPB"	"GMPPB"	chr3	-	49721475	49722147	49721475	49721883	49721964	49722147
507	"PDCD2"	"PDCD2"	chr6	-	170581746	170583188	170581746	170582265	170583056	170583188
508	"TNFSF13"	"TNFSF13"	chr17	+	7558291	7559297	7558291	7558375	7559067	7559297
509	"TNFSF13"	"TNFSF13"	chr17	+	7560723	7561608	7560723	7560817	7560998	7561608
510	"STX10"	"STX10"	chr19	-	13144057	13144671	13144057	13144486	13144576	13144671
511	"FMR1-AS1"	"FMR1-AS1"	chrX	-	147909430	147911817	147909430	147910995	147911377	147911817
512	"FMR1-AS1"	"FMR1-AS1"	chrX	-	147909430	147911817	147909430	147910995	147911641	147911817
513	"INPP5J"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31125832	31126010
514	"PLCD1"	"PLCD1"	chr3	-	38009903	38010275	38009903	38010053	38010130	38010275
515	"ATP2A2"	"ATP2A2"	chr12	+	110346200	110351092	110346200	110346321	110350291	110351092
516	"TCF3"	"TCF3"	chr19	-	1609289	1611849	1609289	1611369	1611703	1611849
517	"PJA1"	"PJA1"	chrX	-	69160737	69163466	69160737	69162381	69162945	69163466
518	"BET1L"	"BET1L"	chr11	-	202923	205667	202923	205469	205610	205667
519	"CCNT2"	"CCNT2"	chr2	+	134953229	134959345	134953229	134954379	134954480	134959345
520	"TEX26-AS1"	"TEX26-AS1"	chr13	-	30931245	30932608	30931245	30931936	30932275	30932608
521	"ULK2"	"ULK2"	chr17	-	19770829	19776407	19770829	19771067	19776308	19776407
522	"C6orf25"	"C6orf25"	chr6	+	31724745	31726708	31724745	31724844	31724969	31726708
523	"C6orf25"	"C6orf25"	chr6	+	3066620	3068583	3066620	3066719	3066844	3068583
524	"C6orf25"	"C6orf25"	chr6	+	3202033	3203996	3202033	3202132	3202257	3203996
525	"C6orf25"	"C6orf25"	chr6	+	2972507	2974470	2972507	2972606	2972731	2974470
526	"C6orf25"	"C6orf25"	chr6	+	2980556	2982519	2980556	2980655	2980780	2982519
527	"C6orf25"	"C6orf25"	chr6	+	3029791	3031755	3029791	3029890	3030016	3031755
528	"C6orf25"	"C6orf25"	chr6	+	3024041	3026004	3024041	3024140	3024265	3026004
529	"GOSR2"	"GOSR2"	chr17	+	46938598	46941367	46938598	46938704	46940554	46941367
530	"ZBTB7B"	"ZBTB7B"	chr1	+	155002629	155002943	155002629	155002686	155002842	155002943
531	"ZBTB7B"	"ZBTB7B"	chr1	+	155002629	155002943	155002629	155002669	155002842	155002943
532	"CASP1"	"CASP1"	chr11	-	105025509	105026356	105025509	105025600	105026225	105026356
533	"TSEN34"	"TSEN34"	chr19	+	167970	169332	167970	168114	168417	169332
534	"TSEN34"	"TSEN34"	chr19	+	54193174	54194536	54193174	54193318	54193621	54194536
535	"TSEN34"	"TSEN34"	chr19	+	168143	169508	168143	168287	168590	169508
536	"TSEN34"	"TSEN34"	chr19	+	168137	169499	168137	168281	168584	169499
537	"TMED4"	"TMED4"	chr7	-	44581722	44582295	44581722	44581823	44582053	44582295
538	"TMED4"	"TMED4"	chr7	-	44581722	44582295	44581722	44581823	44582046	44582295
539	"TUBB"	"TUBB"	chr6	+	1978451	1980539	1978451	1978540	1979146	1980539
540	"TUBB"	"TUBB"	chr6	+	30723339	30725426	30723339	30723428	30724034	30725426
541	"TUBB"	"TUBB"	chr6	+	1979189	1981276	1979189	1979278	1979884	1981276
542	"TUBB"	"TUBB"	chr6	+	2033590	2035677	2033590	2033679	2034285	2035677
543	"TUBB"	"TUBB"	chr6	+	2203078	2205165	2203078	2203167	2203773	2205165
544	"TUBB"	"TUBB"	chr6	+	2052842	2054929	2052842	2052931	2053537	2054929
545	"TUBB"	"TUBB"	chr6	+	2024125	2026212	2024125	2024214	2024820	2026212
546	"TUBB"	"TUBB"	chr6	+	2067414	2069501	2067414	2067503	2068109	2069501
547	"HSH2D"	"HSH2D"	chr19	+	16152551	16153208	16152551	16152641	16153042	16153208
548	"ELMOD3"	"ELMOD3"	chr2	+	85390137	85391752	85390137	85390265	85390759	85391752
549	"GOLGA8A"	"GOLGA8A"	chr15	-	34386624	34387952	34386624	34386741	34387832	34387952
550	"SNX21"	"SNX21"	chr20	+	45840638	45843275	45840638	45840780	45842032	45843275
551	"NFKB2"	"NFKB2"	chr10	+	102395595	102395980	102395595	102395796	102395887	102395980
552	"FN1"	"FN1"	chr2	-	215371908	215372375	215371908	215372015	215372108	215372375
553	"SH3GLB2"	"SH3GLB2"	chr9	-	129007792	129008791	129007792	129008150	129008683	129008791
554	"PRAME"	"PRAME"	chr22	-	192468	193237	192468	192587	193201	193237
555	"PRAME"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580
556	"PRAME"	"PRAME"	chr22	-	192468	193237	192468	192566	193201	193237
557	"PRAME"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580
558	"NXF1"	"NXF1"	chr11	-	62798538	62800486	62798538	62798575	62800376	62800486
559	"SLC5A6"	"SLC5A6"	chr2	-	27199586	27200579	27199586	27199837	27200104	27200579
560	"SLC5A6"	"SLC5A6"	chr2	-	27202812	27203345	27202812	27202880	27203232	27203345
561	"CLDN5"	"CLDN5"	chr22	-	19523023	19525337	19523023	19524542	19525154	19525337
562	"DIS3L2"	"DIS3L2"	chr2	+	232335772	232337198	232335772	232335874	232336468	232337198
563	"URM1"	"URM1"	chr9	+	128387815	128392016	128387815	128387897	128389260	128392016
564	"URM1"	"URM1"	chr9	+	128389260	128392016	128389260	128389309	128389665	128392016
565	"MED23"	"MED23"	chr6	-	131586737	131587846	131586737	131586937	131587708	131587846
566	"WNT8A"	"WNT8A"	chr5	+	138090527	138091541	138090527	138091007	138091423	138091541
567	"WNT8A"	"WNT8A"	chr5	+	138083891	138084283	138083891	138084157	138084249	138084283
568	"WNT8A"	"WNT8A"	chr5	+	138090527	138091541	138090527	138091056	138091358	138091541
569	"SETD6"	"SETD6"	chr16	+	58515790	58516097	58515790	58515880	58515952	58516097
570	"PARG"	"PARG"	chr10	-	49818387	49819494	49818387	49819066	49819277	49819494
571	"BIN2"	"BIN2"	chr12	-	51302019	51302780	51302019	51302115	51302685	51302780
572	"ZNF74"	"ZNF74"	chr22	+	20394114	20394662	20394114	20394334	20394562	20394662
573	"HOXA1"	"HOXA1"	chr7	-	27095260	27096006	27095260	27095355	27095558	27096006
574	"ARHGAP30"	"ARHGAP30"	chr1	-	161046941	161049334	161046941	161048355	161048988	161049334
575	"GJA9-MYCBP"	"GJA9-MYCBP"	chr1	-	38873594	38876193	38873594	38873909	38874777	38876193
576	"NAPB"	"NAPB"	chr20	-	23374518	23377486	23374518	23375652	23376072	23377486
577	"PML"	"PML"	chr15	+	74034477	74036394	74034477	74034530	74035171	74036394
578	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179072	128179415
579	"PPP2R2B"	"PPP2R2B"	chr5	-	146878001	146878785	146878001	146878195	146878590	146878785
580	"CDCA4"	"CDCA4"	chr14	-	105009572	105011935	105009572	105010633	105011159	105011935
581	"TPD52L3"	"TPD52L3"	chr9	+	6328348	6330918	6328348	6328962	6330181	6330918
582	"TRIM13"	"TRIM13"	chr13	+	49997006	49997763	49997006	49997131	49997666	49997763
583	"TRIM13"	"TRIM13"	chr13	+	49997006	49997763	49997006	49997216	49997666	49997763
