IID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3225	"Ints10"	"Ints10"	chr8	+	68819287	68819367	68814256	68814365	68820654	68820817
3226	"Sar1a"	"Sar1a"	chr10	+	61689773	61689905	61686374	61686478	61691284	61693297
3227	"Stambpl1"	"Stambpl1"	chr19	+	34239502	34239602	34238775	34238888	34240016	34240328
3228	"Spred1"	"Spred1"	chr2	+	117175343	117175445	117171927	117172086	117177301	117182277
3229	"Ap5m1"	"Ap5m1"	chr14	+	49081010	49081129	49080835	49080921	49083858	49083955
3230	"Ap5m1"	"Ap5m1"	chr14	+	49078694	49078922	49073548	49074194	49080235	49080375
3231	"Edaradd"	"Edaradd"	chr13	-	12500550	12500609	12483599	12483645	12507280	12507320
3232	"Mroh1"	"Mroh1"	chr15	+	76430176	76430299	76429787	76429907	76432148	76432295
3233	"Mroh1"	"Mroh1"	chr15	+	76432371	76432398	76432148	76432295	76433273	76433396
3234	"Mroh1"	"Mroh1"	chr15	+	76427901	76427942	76427511	76427656	76428243	76428385
3235	"Mroh1"	"Mroh1"	chr15	+	76433273	76433396	76432148	76432295	76433537	76433617
3236	"Tbc1d20"	"Tbc1d20"	chr2	+	152302151	152302337	152293871	152294040	152304945	152305026
3237	"Ppp1r16a"	"Ppp1r16a"	chr15	+	76693226	76693352	76693013	76693138	76693594	76693724
3238	"Ppp1r16a"	"Ppp1r16a"	chr15	+	76693438	76693514	76693226	76693352	76693594	76693724
3239	"Cops7a"	"Cops7a"	chr6	-	124962621	124962697	124962357	124962446	124965284	124965397
3240	"Cops7a"	"Cops7a"	chr6	-	124962621	124962697	124962357	124962446	124965401	124965529
3241	"Cops7a"	"Cops7a"	chr6	-	124964723	124964928	124962621	124962697	124965284	124965397
3242	"Cops7a"	"Cops7a"	chr6	-	124964723	124964928	124962621	124962697	124965401	124965529
3243	"Fasl"	"Fasl"	chr1	-	161787104	161787150	161782947	161783004	161787943	161788495
3244	"Arhgap42"	"Arhgap42"	chr9	-	9011335	9011441	9009276	9009436	9015299	9015358
3245	"Ctbp2"	"Ctbp2"	chr7	-	133025712	133025872	132999190	132999345	133081756	133081860
3246	"Kcnc3"	"Kcnc3"	chr7	+	44598805	44598933	44598383	44598575	44601868	44604751
3247	"Setd4"	"Setd4"	chr16	-	93593246	93593335	93590873	93591303	93596297	93596335
3248	"Ubxn8"	"Ubxn8"	chr8	-	33633501	33633627	33629236	33629374	33635288	33635359
3249	"Ubxn8"	"Ubxn8"	chr8	-	33629236	33629374	33626323	33626365	33633501	33633627
3250	"Jade3"	"Jade3"	chrX	+	20487297	20487422	20479513	20479671	20489701	20489892
3251	"Myl10"	"Myl10"	chr5	+	136700701	136700750	136697932	136698011	136700854	136701094
3252	"Gapvd1"	"Gapvd1"	chr2	-	34681634	34681707	34678432	34678630	34684181	34684395
3253	"Gapvd1"	"Gapvd1"	chr2	-	34754265	34754559	34730462	34730680	34754977	34755232
3254	"Gapvd1"	"Gapvd1"	chr2	-	34699825	34699906	34695485	34695608	34700762	34700850
3255	"Pla2g16"	"Pla2g16"	chr19	+	7578953	7579222	7574936	7575039	7585564	7588545
3256	"Ceacam2"	"Ceacam2"	chr7	-	25519962	25520015	25519158	25519190	25520813	25520931
3257	"Card14"	"Card14"	chr11	+	119343142	119343264	119340990	119341164	119343894	119344010
3258	"Card14"	"Card14"	chr11	+	119343142	119343264	119339574	119339686	119343894	119344010
3259	"Card14"	"Card14"	chr11	+	119340990	119341164	119339574	119339686	119343894	119344010
3260	"Card14"	"Card14"	chr11	+	119340990	119341164	119339574	119339686	119343142	119343264
3261	"Nmd3"	"Nmd3"	chr3	+	69724256	69724391	69722408	69722466	69729337	69729418
3262	"Nmd3"	"Nmd3"	chr3	+	69726360	69726457	69724256	69724391	69729337	69729418
3263	"Nmd3"	"Nmd3"	chr3	+	69729337	69729418	69724256	69724391	69735045	69735124
3264	"Rdh10"	"Rdh10"	chr1	+	16131074	16131206	16129195	16129341	16131293	16132550
3265	"Adc"	"Adc"	chr4	-	128959783	128959957	128950599	128950772	128961362	128961559
3266	"Adc"	"Adc"	chr4	-	128946056	128946169	128934456	128934671	128947458	128947618
3267	"Upp2"	"Upp2"	chr2	+	58761808	58761862	58755183	58755422	58763674	58763792
3268	"Prr27"	"Prr27"	chr5	+	87837607	87837631	87835671	87835733	87841257	87841281
3269	"Fanci"	"Fanci"	chr7	+	79399135	79399208	79395892	79395995	79401824	79401955
3270	"Cbx3"	"Cbx3"	chr6	+	51471815	51471868	51470615	51470739	51481723	51481818
3271	"Il1f6"	"Il1f6"	chr2	+	24216535	24216675	24215950	24216064	24224384	24224598
3272	"AB041803"	"AB041803"	chr6	-	31181021	31181149	31165522	31166635	31218073	31218474
3273	"AB041803"	"AB041803"	chr6	-	31197779	31197851	31181021	31181149	31218073	31218474
3274	"Tnrc6b"	"Tnrc6b"	chr15	+	80882943	80883102	80878866	80881206	80884206	80884382
3275	"Tnrc6b"	"Tnrc6b"	chr15	+	80918510	80918606	80917950	80918097	80923457	80923682
3276	"Sox5"	"Sox5"	chr6	-	143907386	143907533	143873972	143874150	143941350	143941436
3277	"Ss18"	"Ss18"	chr18	-	14651022	14651244	14640955	14641123	14655026	14655180
3278	"Ss18"	"Ss18"	chr18	-	14640256	14640361	14636495	14636618	14640955	14641123
3279	"Ss18"	"Ss18"	chr18	-	14637391	14637484	14636495	14636618	14640256	14640361
3280	"Shisa7"	"Shisa7"	chr7	-	4831672	4831723	4830758	4830908	4834229	4834384
3281	"Csnk1d"	"Csnk1d"	chr11	-	120964947	120965010	120961740	120963906	120967994	120968134
3282	"Pan3"	"Pan3"	chr5	+	147519504	147519752	147488110	147488258	147521829	147521934
3283	"Pan3"	"Pan3"	chr5	+	147488110	147488258	147455117	147455188	147519504	147519752
3284	"Pan3"	"Pan3"	chr5	+	147526924	147527041	147526518	147526680	147527128	147527230
3285	"Pan3"	"Pan3"	chr5	+	147543069	147543208	147539741	147539806	147545605	147545735
3286	"Cyfip2"	"Cyfip2"	chr11	-	46276778	46276907	46274637	46274742	46278058	46278155
3287	"Clk3"	"Clk3"	chr9	-	57758626	57758723	57758283	57758350	57760823	57761040
3288	"Tmem219"	"Tmem219"	chr7	-	126897025	126897224	126896748	126896938	126898223	126898278
3289	"Tmem219"	"Tmem219"	chr7	-	126897025	126897227	126896748	126896938	126898223	126898278
3290	"Tmem219"	"Tmem219"	chr7	-	126888890	126889060	126886218	126886315	126891602	126891832
3291	"Hsdl2"	"Hsdl2"	chr4	+	59593236	59593335	59592154	59592318	59594395	59594510
3292	"Dpp8"	"Dpp8"	chr9	+	65034874	65035011	65032457	65032623	65036968	65037241
3293	"Dpp8"	"Dpp8"	chr9	+	65074438	65074585	65066350	65066496	65075735	65075888
3294	"Dpp8"	"Dpp8"	chr9	+	65053768	65053830	65053044	65053173	65054418	65054519
3295	"Dpp8"	"Dpp8"	chr9	+	65078673	65078785	65077962	65078105	65080730	65082651
3296	"Arhgef12"	"Arhgef12"	chr9	-	42992535	42992571	42991873	42992028	42992988	42993121
3297	"Arhgef12"	"Arhgef12"	chr9	-	43040539	43040596	43027196	43027295	43042590	43042676
3298	"Arhgef12"	"Arhgef12"	chr9	-	43027196	43027295	43026179	43026229	43042590	43042676
3299	"Tbx15"	"Tbx15"	chr3	+	99313012	99313114	99308829	99309043	99314743	99314915
3300	"Mrps10"	"Mrps10"	chr17	+	47372572	47372645	47372426	47372491	47374972	47375109
3301	"Mrps10"	"Mrps10"	chr17	+	47372575	47372645	47372426	47372491	47374972	47375109
3302	"Sema7a"	"Sema7a"	chr9	+	57953535	57953678	57940134	57940328	57954169	57954211
3303	"Sema7a"	"Sema7a"	chr9	+	57960558	57960713	57960254	57960382	57960856	57960918
3304	"Sema7a"	"Sema7a"	chr9	+	57954823	57954911	57954524	57954617	57955059	57955170
3305	"Cck"	"Cck"	chr9	-	121493368	121493531	121489823	121490201	121494316	121494532
3306	"Csnk1a1"	"Csnk1a1"	chr18	+	61578666	61578773	61577177	61577252	61580338	61580451
3307	"Csnk1a1"	"Csnk1a1"	chr18	+	61569463	61569562	61568263	61568390	61575409	61575549
3308	"Csnk1a1"	"Csnk1a1"	chr18	+	61576506	61576585	61575409	61575549	61577177	61577252
3309	"Eif3m"	"Eif3m"	chr2	-	105006755	105006839	105005780	105005880	105012850	105012945
3310	"Eif3m"	"Eif3m"	chr2	-	105001270	105001414	105000241	105000302	105004924	105005006
3311	"Rbbp4"	"Rbbp4"	chr4	-	129320468	129320546	129318443	129318520	129321853	129321980
3312	"Shisa9"	"Shisa9"	chr16	+	12252784	12252832	12244607	12244763	12267423	12270904
3313	"Sdccag3"	"Sdccag3"	chr2	-	26385082	26385145	26384681	26384821	26385497	26385609
3314	"Sdccag3"	"Sdccag3"	chr2	-	26386903	26387311	26385989	26386063	26387555	26387671
3315	"Sdccag3"	"Sdccag3"	chr2	-	26388915	26389065	26388491	26388560	26389148	26389316
3316	"Sdccag3"	"Sdccag3"	chr2	-	26388491	26388560	26387555	26387671	26389148	26389316
3317	"Myo10"	"Myo10"	chr15	+	25701561	25701720	25666425	25666524	25714028	25714216
3318	"Foxj3"	"Foxj3"	chr4	+	119623220	119623412	119621600	119621702	119624896	119625004
3319	"Foxj3"	"Foxj3"	chr4	+	119609989	119610091	119602408	119602492	119616507	119616636
3320	"Hs2st1"	"Hs2st1"	chr3	-	144435461	144435619	144431106	144434714	144447269	144447408
3321	"Hs2st1"	"Hs2st1"	chr3	-	144437594	144437692	144435461	144435619	144447269	144447408
3322	"Hs2st1"	"Hs2st1"	chr3	-	144447269	144447408	144437594	144437692	144453951	144454037
3323	"Rnf43"	"Rnf43"	chr11	+	87728025	87728130	87718377	87718500	87729399	87729561
3324	"Memo1"	"Memo1"	chr17	-	74217026	74217103	74202260	74202365	74225431	74225574
3325	"Memo1"	"Memo1"	chr17	-	74244974	74245087	74241904	74242016	74255227	74255296
3326	"Snapc4"	"Snapc4"	chr2	-	26378160	26378279	26378020	26378067	26378493	26378636
3327	"Snapc4"	"Snapc4"	chr2	-	26373318	26373466	26372973	26373080	26374020	26374185
3328	"Map2k7"	"Map2k7"	chr8	+	4240687	4240735	4238739	4239033	4243303	4243445
3329	"Irak1"	"Irak1"	chrX	-	74017900	74018017	74017129	74017511	74018129	74018366
3330	"Irak1"	"Irak1"	chrX	-	74022184	74022249	74020942	74021061	74022472	74022661
3331	"Irak1"	"Irak1"	chrX	-	74022184	74022249	74020942	74021061	74022848	74022952
3332	"Irak1"	"Irak1"	chrX	-	74015405	74015501	74013913	74014125	74016547	74016697
3333	"Irak1"	"Irak1"	chrX	-	74021848	74021963	74020942	74021061	74022184	74022249
3334	"Irak1"	"Irak1"	chrX	-	74022472	74022661	74022184	74022249	74022848	74022952
3335	"Irak1"	"Irak1"	chrX	-	74022472	74022661	74020942	74021061	74022848	74022952
3336	"Irak1"	"Irak1"	chrX	-	74022472	74022664	74020942	74021061	74022848	74022952
3337	"Irak1"	"Irak1"	chrX	-	74022472	74022664	74022184	74022249	74022848	74022952
3338	"Wdr52"	"Wdr52"	chr16	+	44438996	44439171	44437126	44437323	44449029	44449207
3339	"Asgr1"	"Asgr1"	chr11	+	70056857	70056944	70056413	70056485	70057031	70057183
3340	"Gpr137"	"Gpr137"	chr19	-	6940921	6940949	6940351	6940482	6941091	6941507
3341	"Gpr137"	"Gpr137"	chr19	-	6939528	6939754	6939260	6939410	6940351	6940401
3342	"Gpr137"	"Gpr137"	chr19	-	6938755	6938874	6938069	6938529	6939011	6939140
3343	"Asun"	"Asun"	chr6	-	146550086	146550164	146549631	146549985	146550638	146550774
3344	"Asun"	"Asun"	chr6	-	146554927	146555098	146554491	146554646	146556130	146556309
3345	"Asun"	"Asun"	chr6	-	146561728	146561857	146560125	146560210	146563426	146563517
3346	"Psme4"	"Psme4"	chr11	+	30815557	30815708	30815227	30815292	30817730	30817829
3347	"Psme4"	"Psme4"	chr11	+	30837281	30837491	30835335	30835467	30838884	30839021
3348	"Psme4"	"Psme4"	chr11	+	30843506	30843588	30841990	30842120	30845179	30845333
3349	"Rnh1"	"Rnh1"	chr7	-	141164007	141164178	141163353	141163524	141164503	141164674
3350	"Sin3a"	"Sin3a"	chr9	+	57081094	57081202	57076375	57076630	57086580	57086801
3351	"Eif3h"	"Eif3h"	chr15	-	51796387	51796537	51789992	51790113	51797612	51797712
3352	"Tpm2"	"Tpm2"	chr4	-	43519388	43519506	43519226	43519297	43519610	43519744
3353	"Tpm2"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519226	43519297
3354	"Tpm2"	"Tpm2"	chr4	-	43519002	43519078	43518401	43518464	43519226	43519297
3355	"Zc3h14"	"Zc3h14"	chr12	+	98747479	98747522	98746967	98747158	98752777	98752892
3356	"Zc3h14"	"Zc3h14"	chr12	+	98779107	98779267	98774244	98774319	98780047	98780280
3357	"Zc3h14"	"Zc3h14"	chr12	+	98774244	98774319	98763822	98763978	98783581	98783702
3358	"Zc3h14"	"Zc3h14"	chr12	+	98774244	98774319	98763822	98763978	98779107	98779267
3359	"Zc3h14"	"Zc3h14"	chr12	+	98780047	98780280	98774244	98774319	98783581	98783702
3360	"Zc3h14"	"Zc3h14"	chr12	+	98752777	98752892	98747479	98747522	98756184	98756225
3361	"Slc41a1"	"Slc41a1"	chr1	+	131839114	131839222	131830010	131830990	131840176	131840248
3362	"Tmem40"	"Tmem40"	chr6	-	115738947	115739022	115736382	115736436	115741540	115741672
3363	"Snd1"	"Snd1"	chr6	+	28880196	28880338	28874860	28875049	28883257	28883381
3364	"Myo3b"	"Myo3b"	chr2	+	70105653	70105753	70096360	70096495	70108621	70108698
3365	"Myo3b"	"Myo3b"	chr2	+	70238756	70238959	70237816	70237900	70244846	70244945
3366	"Myo3b"	"Myo3b"	chr2	+	70256488	70256577	70255246	70255400	70257962	70258092
3367	"Myo3b"	"Myo3b"	chr2	+	70096360	70096495	70095156	70095340	70105376	70105481
3368	"Myo3b"	"Myo3b"	chr2	+	70286918	70286996	70257962	70258092	70289369	70289575
3369	"Myo3b"	"Myo3b"	chr2	+	70313303	70313415	70289369	70289575	70314275	70314438
3370	"Myo3b"	"Myo3b"	chr2	+	70281152	70281232	70257962	70258092	70286918	70286996
3371	"Myo3b"	"Myo3b"	chr2	+	70105376	70105481	70096360	70096495	70105653	70105753
3372	"Myo3b"	"Myo3b"	chr2	+	70189542	70189608	70126846	70126992	70217014	70217170
3373	"Fam105a"	"Fam105a"	chr15	-	27662338	27662488	27659889	27660018	27664343	27664435
3374	"Fam105a"	"Fam105a"	chr15	-	27657175	27657263	27655070	27657071	27658044	27658314
3375	"Adora2a"	"Adora2a"	chr10	+	75325784	75326351	75316876	75317147	75333026	75334792
3376	"Rexo2"	"Rexo2"	chr9	-	48479309	48479393	48475119	48475197	48480406	48480611
3377	"Oas1c"	"Oas1c"	chr5	-	120808580	120809044	120807959	120808248	120812433	120812514
3378	"Tnpo3"	"Tnpo3"	chr6	-	29571035	29571127	29568853	29568993	29572585	29572693
3379	"Trim9"	"Trim9"	chr12	-	70267233	70267266	70263731	70266492	70268061	70268200
3380	"Acsm3"	"Acsm3"	chr7	+	119766372	119766574	119760922	119760982	119766890	119767038
3381	"Il15"	"Il15"	chr8	-	82343238	82343323	82337565	82337610	82344374	82344472
3382	"Il15"	"Il15"	chr8	-	82379493	82379615	82345599	82345698	82402289	82402586
3383	"Il15"	"Il15"	chr8	-	82379493	82379615	82345599	82345698	82402299	82402586
3384	"Il15"	"Il15"	chr8	-	82334468	82334606	82331623	82332024	82343238	82343323
3385	"Il15"	"Il15"	chr8	-	82337565	82337610	82334468	82334606	82343238	82343323
3386	"Il15"	"Il15"	chr8	-	82345599	82345698	82344374	82344472	82379493	82379615
3387	"Mast2"	"Mast2"	chr4	-	116333412	116333433	116330390	116330469	116337421	116337497
3388	"Mast2"	"Mast2"	chr4	-	116313692	116313825	116312852	116313018	116314806	116314945
3389	"Mast2"	"Mast2"	chr4	-	116312852	116313018	116312290	116312392	116313692	116313825
3390	"Narg2"	"Narg2"	chr9	+	69421660	69421790	69416933	69417109	69425656	69425741
3391	"2410015M20Rik"	"2410015M20Rik"	chr17	-	56608637	56608692	56607451	56607841	56608845	56609023
3392	"Stx17"	"Stx17"	chr4	+	48140419	48140485	48131764	48131949	48158810	48159033
3393	"Cdh3"	"Cdh3"	chr8	+	106535407	106535481	106511223	106511341	106536560	106536686
3394	"Cdh3"	"Cdh3"	chr8	+	106535410	106535481	106511223	106511341	106536560	106536686
3395	"Cdh3"	"Cdh3"	chr8	+	106538993	106539169	106537073	106537218	106539794	106539923
3396	"Cd300lg"	"Cd300lg"	chr11	+	102046066	102046198	102042971	102043304	102046853	102047187
3397	"Cd300lg"	"Cd300lg"	chr11	+	102046066	102046198	102042971	102043304	102047105	102047187
3398	"Eif4enif1"	"Eif4enif1"	chr11	+	3233987	3234059	3229868	3230101	3234461	3234645
3399	"Usp25"	"Usp25"	chr16	+	77037347	77037492	77033902	77033980	77048441	77048565
3400	"Usp25"	"Usp25"	chr16	+	77055153	77055240	77050397	77050560	77059162	77059300
3401	"Nprl3"	"Nprl3"	chr11	-	32255438	32255568	32253874	32253949	32263024	32263094
3402	"Nprl3"	"Nprl3"	chr11	-	32238988	32239290	32237299	32237406	32239796	32239953
3403	"Nprl3"	"Nprl3"	chr11	-	32259216	32259255	32255438	32255568	32263024	32263094
3404	"Nprl3"	"Nprl3"	chr11	-	32239796	32239953	32237299	32237406	32241797	32241935
3405	"Ruvbl2"	"Ruvbl2"	chr7	-	45431319	45431374	45429908	45429964	45434251	45434464
3406	"Ubac1"	"Ubac1"	chr2	-	26008860	26008969	26007718	26007953	26009160	26009263
3407	"Ubac1"	"Ubac1"	chr2	-	26005325	26005464	25996957	25999067	26006526	26006613
3408	"Ubac1"	"Ubac1"	chr2	-	26006526	26006613	25996957	25999067	26007718	26007953
3409	"Zfand3"	"Zfand3"	chr17	+	30060809	30060850	30005086	30005308	30135322	30135505
3410	"Acacb"	"Acacb"	chr5	+	114246430	114246543	114245877	114246055	114248163	114248318
3411	"Acacb"	"Acacb"	chr5	+	114235452	114235550	114233082	114233352	114236506	114236627
3412	"Slc4a10"	"Slc4a10"	chr2	+	62317475	62317514	62316564	62316681	62324724	62326743
3413	"Slc4a10"	"Slc4a10"	chr2	+	62244351	62244441	62243361	62243453	62250378	62250536
3414	"Orc5"	"Orc5"	chr5	-	22533762	22533874	22529154	22529285	22537521	22537596
3415	"Taz"	"Taz"	chrX	+	74283931	74284017	74283647	74283693	74288177	74288219
3416	"Taz"	"Taz"	chrX	+	74283931	74284017	74283647	74283693	74288018	74288099
3417	"Taz"	"Taz"	chrX	+	74288018	74288099	74283931	74284017	74288177	74288219
3418	"Taz"	"Taz"	chrX	+	74288018	74288099	74283647	74283693	74288177	74288219
3419	"Taz"	"Taz"	chrX	+	74288661	74288714	74288450	74288513	74289104	74289182
3420	"Fxyd3"	"Fxyd3"	chr7	-	31072180	31072213	31072074	31072098	31076620	31076697
3421	"Fxyd3"	"Fxyd3"	chr7	-	31072180	31072213	31072074	31072098	31073581	31073635
3422	"Fxyd3"	"Fxyd3"	chr7	-	31073581	31073635	31072180	31072213	31076620	31076697
3423	"Fxyd3"	"Fxyd3"	chr7	-	31073581	31073635	31072074	31072098	31076620	31076697
3424	"Fxyd3"	"Fxyd3"	chr7	-	31071291	31071366	31071161	31071198	31072074	31072098
3425	"Inadl"	"Inadl"	chr4	+	98682043	98682081	98681113	98681222	98687332	98687455
3426	"Inadl"	"Inadl"	chr4	+	98437329	98437470	98431757	98431899	98441053	98441142
3427	"Inadl"	"Inadl"	chr4	+	98413003	98413199	98411026	98411166	98416630	98416759
3428	"Inadl"	"Inadl"	chr4	+	98667575	98667659	98652403	98652558	98674193	98674387
3429	"Rasa4"	"Rasa4"	chr5	+	136102527	136102665	136102234	136102427	136103279	136103424
3430	"Rasa4"	"Rasa4"	chr5	+	136101944	136102057	136101624	136101689	136102234	136102427
3431	"Rasa4"	"Rasa4"	chr5	+	136096660	136096792	136095526	136095608	136098687	136098779
3432	"Npas1"	"Npas1"	chr7	-	16460805	16460953	16459185	16459280	16461329	16461436
3433	"Cd82"	"Cd82"	chr2	-	93443368	93443444	93437387	93437470	93462909	93462950
3434	"Cd82"	"Cd82"	chr2	-	93443368	93443444	93437387	93437470	93461799	93461851
3435	"Cd82"	"Cd82"	chr2	-	93443368	93443444	93437387	93437470	93462329	93462502
3436	"Cd82"	"Cd82"	chr2	-	93433860	93433933	93430130	93430255	93437387	93437470
3437	"Cd82"	"Cd82"	chr2	-	93451666	93451753	93443368	93443444	93462329	93462502
3438	"Cd82"	"Cd82"	chr2	-	93420554	93420755	93420239	93420323	93421826	93421928
3439	"Rc3h2"	"Rc3h2"	chr2	-	37398243	37398356	37389584	37389890	37399586	37399705
3440	"Edc4"	"Edc4"	chr8	+	105891495	105891715	105891218	105891405	105892266	105892430
3441	"Khnyn"	"Khnyn"	chr14	+	55887920	55888017	55887713	55887844	55893991	55894099
3442	"Casc4"	"Casc4"	chr2	+	121898797	121898852	121866969	121867531	121901181	121901284
3443	"Casc4"	"Casc4"	chr2	+	121925560	121925728	121911870	121912041	121933477	121936207
3444	"Casc4"	"Casc4"	chr2	+	121910798	121910897	121906697	121906778	121911870	121912041
3445	"Lrrfip1"	"Lrrfip1"	chr1	+	91084945	91085005	91068562	91068649	91100576	91100612
3446	"Lrrfip1"	"Lrrfip1"	chr1	+	91103246	91103318	91101184	91101310	91105126	91105297
3447	"Lrrfip1"	"Lrrfip1"	chr1	+	91108579	91108672	91107297	91107390	91110354	91110447
3448	"Lrrfip1"	"Lrrfip1"	chr1	+	91093559	91093637	91068562	91068649	91100576	91100612
3449	"Lrrfip1"	"Lrrfip1"	chr1	+	91110354	91110447	91107297	91107390	91112155	91112297
3450	"Arhgap21"	"Arhgap21"	chr2	-	20883199	20883229	20879960	20881851	20887105	20887160
3451	"Eef1d"	"Eef1d"	chr15	-	75900690	75900762	75896819	75896919	75901131	75901255
3452	"Eef1d"	"Eef1d"	chr15	-	75900690	75900762	75896242	75896464	75901131	75901255
3453	"Eef1d"	"Eef1d"	chr15	-	75897225	75897282	75896819	75896919	75901131	75901252
3454	"Ift74"	"Ift74"	chr4	+	94624730	94624779	94621853	94621989	94626976	94627075
3455	"Rapgef6"	"Rapgef6"	chr11	+	54694269	54694572	54691237	54691740	54696079	54699286
3456	"Rapgef6"	"Rapgef6"	chr11	+	54552789	54552873	54546372	54546429	54561324	54561394
3457	"Rapgef6"	"Rapgef6"	chr11	+	54552789	54552873	54546372	54546429	54568352	54568496
3458	"Rapgef6"	"Rapgef6"	chr11	+	54546372	54546429	54522844	54523118	54568352	54568496
3459	"Rapgef6"	"Rapgef6"	chr11	+	54671654	54671678	54668613	54668737	54676194	54676415
3460	"Rapgef6"	"Rapgef6"	chr11	+	54561324	54561394	54546372	54546429	54568352	54568496
3461	"Rapgef6"	"Rapgef6"	chr11	+	54561324	54561394	54552789	54552873	54568352	54568496
3462	"Rapgef6"	"Rapgef6"	chr11	+	54651748	54651763	54649181	54649339	54657245	54657486
3463	"Rapgef6"	"Rapgef6"	chr11	+	54543578	54543649	54522844	54523118	54546372	54546429
3464	"Ezr"	"Ezr"	chr17	-	6742353	6742484	6741420	6741581	6742689	6742853
3465	"Rin2"	"Rin2"	chr2	+	145876390	145876696	145860013	145861174	145878843	145878975
3466	"Rin2"	"Rin2"	chr2	+	145822609	145822761	145822264	145822365	145844710	145844903
3467	"Cds1"	"Cds1"	chr5	+	101781374	101781502	101765129	101765489	101791474	101791571
3468	"Atp6v1c1"	"Atp6v1c1"	chr15	+	38679319	38679411	38677518	38677613	38681066	38681165
3469	"Atp6v1c1"	"Atp6v1c1"	chr15	+	38677518	38677613	38676027	38676113	38679319	38679411
3470	"Atp6v1c1"	"Atp6v1c1"	chr15	+	38672856	38673020	38661903	38662083	38676027	38676113
3471	"Atp6v1c1"	"Atp6v1c1"	chr15	+	38687015	38687109	38686803	38686896	38689124	38689222
3472	"Atp6v1c1"	"Atp6v1c1"	chr15	+	38673896	38673964	38672856	38673020	38676027	38676113
3473	"Prss36"	"Prss36"	chr7	-	127933566	127933832	127933370	127933492	127934138	127934280
3474	"Prss36"	"Prss36"	chr7	-	127934138	127934280	127933566	127933832	127934389	127934627
3475	"Rufy3"	"Rufy3"	chr5	+	88598435	88598489	88583512	88584317	88614940	88615114
3476	"Esd"	"Esd"	chr14	+	74744647	74744746	74743218	74743338	74745549	74745717
3477	"Esd"	"Esd"	chr14	+	74743218	74743338	74742013	74742138	74745549	74745717
3478	"Eif4e1b"	"Eif4e1b"	chr13	+	54785477	54785541	54784808	54784904	54786618	54786732
3479	"Txnrd2"	"Txnrd2"	chr16	+	18472793	18472886	18472153	18472249	18474681	18474753
3480	"Gusb"	"Gusb"	chr5	-	129995446	129995531	129993417	129993594	129997779	129997926
3481	"Gusb"	"Gusb"	chr5	-	130000360	130000542	129999926	130000069	130000756	130000942
3482	"Apopt1"	"Apopt1"	chr12	+	111724339	111724403	111722611	111722809	111730021	111730112
3483	"Esco1"	"Esco1"	chr18	-	10588438	10588550	10585977	10586041	10593745	10595875
3484	"Fsd1l"	"Fsd1l"	chr4	+	53694607	53694859	53693983	53694084	53696889	53696978
3485	"Txndc16"	"Txndc16"	chr14	-	45172513	45172604	45169237	45169388	45183045	45183167
3486	"Gnb5"	"Gnb5"	chr9	+	75324953	75325147	75314067	75314383	75327132	75327269
3487	"Lacc1"	"Lacc1"	chr14	-	77034004	77034183	77033185	77033351	77034792	77035405
3488	"Dyrk1a"	"Dyrk1a"	chr16	+	94611418	94611504	94570205	94570534	94659496	94659693
3489	"Fgf5"	"Fgf5"	chr5	+	98261942	98262046	98254183	98254760	98275210	98277033
3490	"Pfdn5"	"Pfdn5"	chr15	+	102326817	102326849	102326432	102326535	102328521	102328596
3491	"Pfdn5"	"Pfdn5"	chr15	+	102326432	102326535	102326115	102326260	102328521	102328596
3492	"Clptm1"	"Clptm1"	chr7	-	19634877	19635013	19634055	19634223	19635307	19635403
3493	"Clptm1"	"Clptm1"	chr7	-	19638116	19638237	19637468	19637713	19638931	19639017
3494	"Ercc8"	"Ercc8"	chr13	+	108166389	108166491	108160634	108160730	108169367	108169491
3495	"Neu2"	"Neu2"	chr1	+	87579433	87579535	87574026	87574126	87594877	87595089
3496	"Spink3"	"Spink3"	chr18	-	43735199	43735234	43733523	43733630	43737094	43737237
3497	"Entpd5"	"Entpd5"	chr12	-	84399339	84399412	84396678	84396958	84405405	84405475
3498	"Entpd5"	"Entpd5"	chr12	-	84399339	84399412	84396678	84396958	84400829	84400934
3499	"Entpd5"	"Entpd5"	chr12	-	84385796	84385876	84385147	84385209	84386137	84386226
3500	"Sbno2"	"Sbno2"	chr10	-	80066830	80066936	80066549	80066703	80067276	80067394
3501	"Sbno2"	"Sbno2"	chr10	-	80062161	80062331	80061315	80061447	80062567	80062759
3502	"Sbno2"	"Sbno2"	chr10	-	80061315	80061447	80060983	80061119	80062161	80062331
3503	"Sbno2"	"Sbno2"	chr10	-	80084240	80084314	80082614	80082726	80086256	80086432
3504	"Sbno2"	"Sbno2"	chr10	-	80072356	80072518	80069967	80070051	80082614	80082726
3505	"Gfra4"	"Gfra4"	chr2	-	131040398	131040475	131039631	131040325	131041015	131041150
3506	"Apoc3"	"Apoc3"	chr9	-	46234658	46234726	46234416	46234540	46235258	46235299
3507	"Drosha"	"Drosha"	chr15	+	12907323	12907394	12905598	12905701	12912510	12912555
3508	"Tmx3"	"Tmx3"	chr18	+	90519104	90519150	90517393	90517517	90523529	90523629
