ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
289	"Cryab"	"Cryab"	chr9	+	50752970	50753477	50752970	50753095	50753185	50753477
290	"Cryab"	"Cryab"	chr9	+	50752970	50753477	50752970	50753084	50753185	50753477
291	"Gcdh"	"Gcdh"	chr8	-	84893554	84893921	84893554	84893684	84893741	84893921
292	"Rab11fip2"	"Rab11fip2"	chr19	-	59902883	59907143	59902883	59906294	59906935	59907143
293	"Cep250"	"Cep250"	chr2	+	155969994	155970236	155969994	155970156	155970219	155970236
294	"Chkb"	"Chkb"	chr15	-	89428410	89428827	89428410	89428544	89428713	89428827
295	"Chkb"	"Chkb"	chr15	-	89428410	89428827	89428410	89428578	89428713	89428827
296	"Glo1"	"Glo1"	chr17	-	30592861	30594226	30592861	30593074	30594114	30594226
297	"Trpc4"	"Trpc4"	chr3	+	54317442	54318471	54317442	54317572	54317824	54318471
298	"Vamp1"	"Vamp1"	chr6	+	125219585	125222306	125219585	125219637	125220049	125222306
299	"Dusp22"	"Dusp22"	chr13	+	30708676	30711232	30708676	30708749	30710705	30711232
300	"1600012H06Rik"	"1600012H06Rik"	chr17	+	14943183	14945939	14943183	14943319	14943501	14945939
301	"1600012H06Rik"	"1600012H06Rik"	chr17	+	14943183	14945939	14943183	14943319	14943566	14945939
302	"1600012H06Rik"	"1600012H06Rik"	chr17	+	14943183	14945939	14943183	14943319	14943571	14945939
303	"Sptssb"	"Sptssb"	chr3	-	69819538	69821131	69819538	69820748	69820934	69821131
304	"4931409K22Rik"	"4931409K22Rik"	chr5	-	24550122	24550805	24550122	24550207	24550599	24550805
305	"Hras"	"Hras"	chr7	-	141189933	141191467	141189933	141191194	141191341	141191467
306	"Qsox1"	"Qsox1"	chr1	-	155778154	155779938	155778154	155778851	155779717	155779938
307	"Mospd1"	"Mospd1"	chrX	-	53344593	53345989	53344593	53344906	53345307	53345989
308	"Nxf1"	"Nxf1"	chr19	+	8764921	8766833	8764921	8765031	8766796	8766833
309	"Dph3"	"Dph3"	chr14	-	32080516	32083246	32080516	32081269	32083168	32083246
310	"Eif2b4"	"Eif2b4"	chr5	-	31192581	31193139	31192581	31192770	31192992	31193139
311	"Eif2b4"	"Eif2b4"	chr5	-	31192581	31193139	31192581	31192625	31192992	31193139
312	"Zswim8"	"Zswim8"	chr14	+	20713882	20714867	20713882	20714568	20714670	20714867
313	"Tbrg4"	"Tbrg4"	chr11	-	6615597	6616714	6615597	6615766	6616557	6616714
314	"Hnrnpm"	"Hnrnpm"	chr17	-	33666493	33666685	33666493	33666529	33666646	33666685
315	"Klhl15"	"Klhl15"	chrX	+	94252414	94255968	94252414	94253126	94253939	94255968
316	"Klhl15"	"Klhl15"	chrX	+	94234929	94235420	94234929	94235125	94235220	94235420
317	"Cd40"	"Cd40"	chr2	+	165069628	165069848	165069628	165069715	165069816	165069848
318	"Cd40"	"Cd40"	chr2	+	165069628	165069848	165069628	165069715	165069821	165069848
319	"Kng1"	"Kng1"	chr16	+	23078973	23080006	23078973	23079051	23079594	23080006
320	"Slc35a4"	"Slc35a4"	chr18	+	36681527	36683862	36681527	36681765	36681873	36683862
321	"P2ry14"	"P2ry14"	chr3	-	59114622	59116291	59114622	59116061	59116187	59116291
322	"Aoc1"	"Aoc1"	chr6	+	48904985	48906776	48904985	48905090	48905187	48906776
323	"Cyb561a3"	"Cyb561a3"	chr19	+	10577156	10578083	10577156	10577563	10577733	10578083
324	"Gtf2ird1"	"Gtf2ird1"	chr5	-	134357660	134359118	134357660	134357896	134358987	134359118
325	"Ccdc85b"	"Ccdc85b"	chr19	-	5453162	5457563	5453162	5457184	5457339	5457563
326	"Xbp1"	"Xbp1"	chr11	+	5524238	5524384	5524238	5524281	5524307	5524384
327	"Abcg8"	"Abcg8"	chr17	+	84698661	84700333	84698661	84699224	84699857	84700333
328	"Tug1"	"Tug1"	chr11	-	3639784	3645523	3639784	3643179	3644771	3645523
329	"Ces2e"	"Ces2e"	chr8	+	104933527	104934672	104933527	104933754	104934446	104934672
330	"Kcnq2"	"Kcnq2"	chr2	-	181108443	181109785	181108443	181109117	181109674	181109785
331	"Kcnq2"	"Kcnq2"	chr2	-	181108443	181109117	181108443	181108561	181109021	181109117
332	"Crnde"	"Crnde"	chr8	-	92326030	92326462	92326030	92326266	92326386	92326462
333	"Lmo2"	"Lmo2"	chr2	+	103970286	103970712	103970286	103970365	103970492	103970712
334	"Pex11b"	"Pex11b"	chr3	+	96643574	96645381	96643574	96644015	96644435	96645381
335	"Adora1"	"Adora1"	chr1	-	134234014	134235457	134234014	134234446	134235227	134235457
336	"Adora1"	"Adora1"	chr1	-	134234014	134235457	134234014	134234412	134235227	134235457
337	"Znrf3"	"Znrf3"	chr11	-	5276328	5282505	5276328	5279761	5280807	5282505
338	"Ost4"	"Ost4"	chr5	-	30907398	30907788	30907398	30907536	30907664	30907788
339	"Zscan10"	"Zscan10"	chr17	+	23609266	23611019	23609266	23609466	23609562	23611019
340	"Wdr73"	"Wdr73"	chr7	-	80900643	80901269	80900643	80900711	80901184	80901269
341	"Rbakdn"	"Rbakdn"	chr5	-	143165429	143165751	143165429	143165549	143165657	143165751
342	"Rbakdn"	"Rbakdn"	chr5	-	143165429	143165751	143165429	143165549	143165665	143165751
343	"Nagpa"	"Nagpa"	chr16	-	5203340	5204012	5203340	5203799	5203896	5204012
344	"Ctla2b"	"Ctla2b"	chr13	-	60895350	60896143	60895350	60895719	60896020	60896143
345	"Prph"	"Prph"	chr15	+	99056768	99057158	99056768	99056936	99057032	99057158
346	"Dlk1"	"Dlk1"	chr12	+	109459606	109463336	109459606	109459892	109460111	109463336
347	"Dlk1"	"Dlk1"	chr12	+	109459606	109463336	109459606	109459892	109460045	109463336
348	"Dlk1"	"Dlk1"	chr12	+	109459606	109463336	109459606	109459832	109460117	109463336
349	"Zpbp2"	"Zpbp2"	chr11	+	98551096	98551508	98551096	98551231	98551442	98551508
350	"Zpbp2"	"Zpbp2"	chr11	+	98551096	98551508	98551096	98551322	98551442	98551508
351	"Dab2ip"	"Dab2ip"	chr2	+	35728057	35730994	35728057	35728128	35730423	35730994
352	"Dab2ip"	"Dab2ip"	chr2	+	35728057	35730994	35728057	35728128	35729110	35730994
353	"Espn"	"Espn"	chr4	-	152128068	152128553	152128068	152128332	152128407	152128553
354	"Med22"	"Med22"	chr2	-	26905266	26908301	26905266	26905993	26908092	26908301
355	"9130024F11Rik"	"9130024F11Rik"	chr1	+	56971468	56975196	56971468	56971771	56974257	56975196
356	"Hmgxb3"	"Hmgxb3"	chr18	-	61157342	61157761	61157342	61157518	61157614	61157761
